firm_id,year,YEMP,AI,L_AI,BMI,SKILL,DEO,ESG,GOV,Age,Size,Lev,RoA,Cash,Growth,Top10,Board,Separation,SOE,lngdp
2,2017,0.3168,2.377,1.9202,0.2704,0.3096,0.0646,5,0,2.3378,21.149,0.6329,0.0427,0.0921,-0.1443,0.6119,2.0703,1,1,10.5051
2,2018,0.2357,1.3226,2.377,0.3384,0.267,0.4025,6,0,3.526,21.9866,0.6099,0.0362,0.0178,0.5315,0.6806,1.9068,1,1,11.4264
2,2019,0.4259,0.8249,1.3226,0.3363,0.4736,0.3072,5,0,1.2129,23.6969,0.5152,-0.0194,0.0926,-0.484,0.5784,2.085,0,1,10.5435
2,2020,0.4175,1.2496,0.8249,0.3986,0.3373,0.5007,5,0,0.9815,23.2527,0.3035,0.0627,0.0587,0.7427,0.912,2.15,0,0,10.1754
2,2021,0.0587,2.282,1.2496,0.1266,0.5261,0.2939,5,0,1.6281,22.2327,0.7353,-0.0087,-0.0298,0.2361,0.5961,2.3494,0,0,10.5064
2,2022,0.4358,1.953,2.282,0.3824,0.3092,0.1135,5,0,2.0996,21.8618,0.2128,0.06,0.0834,0.6136,0.6253,2.0593,0,0,10.3594
2,2023,0.3269,1.4909,1.953,0.3455,0.2237,0.3426,5,0,2.6988,22.2151,0.6251,-0.0326,0.0329,0.862,0.4918,1.7515,0,1,11.4858
3,2016,0.2967,0.1958,,0.3134,0.2086,0.3478,4,0,2.3297,22.6749,0.1426,0.0423,-0.02,-0.0024,0.5795,1.7323,0,1,10.7062
3,2017,0.0908,2.1356,0.1958,0.3614,0.805,0.3429,3,0,2.5788,20.6033,0.5455,-0.0922,0.0703,-0.3466,0.2295,2.0163,1,1,10.7851
3,2018,0.3947,1.3576,2.1356,0.3309,0.6205,0.0387,4,0,2.192,22.675,0.3835,-0.0399,0.0735,-0.2702,0.7979,2.1004,0,0,10.1919
3,2019,0.4705,1.0785,1.3576,0.4308,0.251,0.0013,4,0,1.452,22.3435,0.2885,0.0816,-0.0516,-0.573,0.5638,2.3403,0,0,11.09
3,2020,0.1625,1.1116,1.0785,0.2471,0.2748,0.0,3,0,1.4312,20.9442,0.1013,0.0659,0.1539,0.5235,0.7101,2.1395,0,0,11.4136
3,2021,0.2068,1.889,1.1116,0.0749,0.2324,0.517,4,0,2.017,22.7898,0.1609,-0.0886,0.0174,0.3872,0.8111,2.4842,0,0,10.8246
3,2022,0.4405,0.699,1.889,0.1016,0.2588,0.3857,2,0,1.1119,21.2577,0.5533,0.0123,0.0091,0.407,0.5454,2.0287,0,0,10.5218
3,2023,0.0753,2.4948,0.699,0.0235,0.4644,0.7158,3,0,1.6359,24.3284,0.6473,0.0606,0.0953,-0.3813,0.4411,2.3073,1,1,11.0293
4,2012,0.2749,0.3126,,0.0,0.5131,0.1723,3,1,0.916,20.2069,0.8644,-0.0104,0.136,1.1733,0.5836,2.0193,0,1,11.2192
4,2013,0.1794,1.2293,0.3126,0.2854,0.0785,0.1642,4,0,1.0901,20.722,0.3892,0.0602,0.0026,0.0265,0.6947,2.013,0,0,10.1737
4,2014,0.6477,2.9032,1.2293,0.337,0.3264,0.1026,4,1,2.204,20.3765,0.0709,0.1285,0.0003,0.3417,0.8052,2.1862,0,1,11.0718
4,2015,0.3497,0.5244,2.9032,0.3982,0.0356,0.4363,4,1,2.8734,22.4009,0.3392,0.0061,-0.1016,0.1138,0.4415,2.5433,1,0,11.338
4,2016,0.0214,1.5694,0.5244,0.0304,0.2736,0.2368,7,0,2.74,20.1644,0.4296,0.0015,0.1466,0.6478,0.5906,2.0838,1,0,10.7992
4,2017,0.286,1.2677,1.5694,0.1362,0.3353,1.0,3,0,2.4975,21.1059,0.3991,0.0992,0.027,-0.3132,0.5096,2.2978,0,1,10.6447
4,2018,0.2008,1.6612,1.2677,0.4558,0.3294,0.4501,5,0,1.9012,22.6045,0.6947,0.0464,-0.0524,-0.573,0.2683,2.2844,0,1,10.6746
4,2019,0.2471,2.678,1.6612,0.2014,0.3108,0.3207,4,0,0.0,22.852,0.1342,0.0694,0.1512,-0.3214,0.6094,2.275,0,1,9.6009
4,2020,0.1215,0.2888,2.678,0.5235,0.2685,0.0172,4,0,1.2699,22.1256,0.3881,0.0151,0.0692,0.1242,0.4667,2.1085,0,1,10.929
4,2021,0.4437,1.7811,0.2888,0.1933,0.6034,0.4959,3,1,0.6726,24.1524,0.3791,-0.095,-0.0084,0.4625,0.7952,2.2112,1,0,12.013
4,2022,0.3687,2.2294,1.7811,0.4204,0.2779,0.3847,3,0,1.492,22.4319,0.4769,-0.0036,0.0102,-0.0717,0.6921,2.092,0,0,12.013
4,2023,0.4814,1.278,2.2294,0.5937,0.7222,0.4747,6,0,2.0721,22.8454,0.5696,0.1045,-0.0915,0.3077,0.6541,1.9173,0,0,10.9296
5,2012,0.1801,2.9779,,0.2671,0.3881,0.3251,4,1,2.2788,25.0787,0.5215,0.0372,-0.0503,0.9198,0.8109,2.2593,0,1,12.013
5,2013,0.3502,1.1114,2.9779,0.0534,0.1888,0.3542,3,0,0.0538,20.0743,0.5641,0.0018,0.0075,0.5188,0.6735,2.2256,0,0,10.683
5,2014,0.1957,2.3711,1.1114,0.6196,0.4047,0.5469,4,0,0.979,23.7044,0.2209,0.0549,0.1889,0.2721,0.5219,1.6267,1,0,11.0298
5,2015,0.3899,1.3902,2.3711,0.3354,0.01,0.1493,5,0,2.7284,20.3569,0.4175,0.0092,0.1076,0.2023,0.5948,1.9832,1,1,11.2244
5,2016,0.1688,0.6297,1.3902,0.3011,0.3021,0.2297,6,0,2.6369,21.0562,0.2054,0.1186,-0.0469,0.093,0.3577,2.3588,1,1,9.9588
5,2017,0.2784,0.3479,0.6297,0.1358,0.3979,0.5555,4,1,1.7514,24.0188,0.4863,-0.1034,-0.0317,-0.0215,0.6582,2.2352,1,0,9.3353
5,2018,0.3188,0.5965,0.3479,0.4685,0.4048,0.7105,3,1,2.0937,22.1937,0.6764,-0.0245,0.0952,-0.2491,0.5585,2.1636,0,0,10.7408
5,2019,0.2442,3.4164,0.5965,0.2361,0.2537,0.0051,3,1,1.5243,23.5358,0.3593,-0.0793,0.1764,0.6272,0.8381,2.1882,0,1,10.4246
5,2020,0.3928,3.7234,3.4164,0.1385,0.6531,0.0949,4,0,1.9532,21.692,0.2652,0.1033,0.0333,-0.2831,0.6156,2.1083,1,0,11.1145
5,2021,0.3152,0.7851,3.7234,0.254,0.361,0.7935,5,0,2.4589,21.1445,0.05,-0.0284,0.0255,-0.0419,0.5084,1.8018,0,0,10.41
6,2012,0.3115,1.436,,0.116,0.3933,0.4549,6,0,1.3953,20.9452,0.1288,0.0284,-0.0325,0.3763,0.6259,2.2201,0,0,10.351
6,2013,0.0641,0.4395,1.436,0.2985,0.0295,0.4546,5,0,1.1683,19.2627,0.6333,0.0152,0.1013,0.332,0.7728,2.2258,0,0,10.5226
6,2014,0.0794,0.2376,0.4395,0.179,0.1055,0.0,3,0,2.6048,20.6173,0.4012,0.1012,0.1229,0.2184,0.5791,1.7265,0,1,10.1635
6,2015,0.02,0.704,0.2376,0.0545,0.01,0.3807,4,0,2.1221,19.031,0.4589,0.2011,0.0985,-0.4266,0.7756,2.2904,0,1,10.7787
6,2016,0.2261,1.9231,0.704,0.1997,0.5172,0.444,4,1,2.0294,19.4989,0.1479,0.132,-0.0095,-0.3776,0.5118,2.2781,0,1,10.002
6,2017,0.3935,0.6767,1.9231,0.2195,0.1281,0.09,4,0,3.0675,22.1749,0.3737,0.0656,0.0288,0.1178,0.6992,1.9819,1,1,10.9551
6,2018,0.0568,1.5765,0.6767,0.2428,0.3465,0.356,4,0,2.5901,19.6689,0.4866,0.0444,-0.0056,-0.2111,0.8297,2.1433,0,1,10.8306
6,2019,0.2951,1.1212,1.5765,0.1686,0.2478,0.7269,5,0,2.4194,21.5479,0.3278,-0.0172,0.0521,0.1632,0.3857,2.2035,1,0,9.8042
6,2020,0.3581,0.3699,1.1212,0.0059,0.4079,0.4743,4,1,1.9747,19.031,0.5675,0.1704,0.0776,0.0231,0.7602,2.0135,0,0,11.4897
7,2011,0.1863,1.2322,,0.0,0.4266,0.2045,6,0,2.0909,19.818,0.4725,-0.148,-0.0192,0.3729,0.5794,2.0699,1,1,11.509
7,2012,0.0887,2.0745,1.2322,0.1447,0.4635,0.4731,3,0,2.1981,23.1255,0.5251,0.021,0.0086,0.1572,0.6707,2.1861,0,1,10.5039
7,2013,0.3931,1.3619,2.0745,0.1657,0.2409,0.5531,7,0,1.41,21.817,0.5077,0.1114,0.0788,0.4747,0.3096,1.9106,1,0,12.0015
7,2014,0.005,2.3387,1.3619,0.515,0.1826,0.1482,5,0,1.4014,22.3972,0.2909,-0.0301,0.0788,0.4553,0.5682,2.1543,1,0,11.2105
7,2015,0.3594,0.2076,2.3387,0.2272,0.4134,0.4224,5,0,1.93,22.872,0.3462,-0.0182,0.1333,0.4978,0.6907,2.0929,0,0,11.7237
7,2016,0.5543,2.1354,0.2076,0.6974,0.396,0.5899,3,0,1.7351,22.6772,0.3983,0.0571,0.0592,-0.1339,0.7391,2.1573,1,0,10.4223
7,2017,0.5452,2.8954,2.1354,0.5505,0.7472,0.2162,2,0,2.3109,23.4327,0.6303,0.0522,0.0566,-0.0887,0.4856,2.1835,0,0,11.164
7,2018,0.1039,0.9643,2.8954,0.2409,0.3201,0.1609,4,0,1.7622,22.7789,0.3792,0.1209,0.0612,0.1564,0.5284,2.2495,1,0,9.0102
7,2019,0.0757,2.348,0.9643,0.2736,0.1344,0.4175,5,0,3.526,22.6584,0.5151,0.033,0.0069,0.3715,0.5478,2.2706,0,1,11.0144
7,2020,0.2478,0.6433,2.348,0.4205,0.5186,0.3221,4,0,3.526,22.7538,0.4448,-0.0161,0.0336,-0.5355,0.3782,1.9369,0,0,11.1323
7,2021,0.3454,1.0133,0.6433,0.4268,0.5945,0.1153,3,0,1.5522,23.8305,0.8098,0.025,0.0266,1.0162,0.3277,2.1255,0,0,11.0789
8,2011,0.2611,0.2671,,0.2045,0.4278,0.3471,4,0,1.9278,23.4781,0.4855,0.0012,0.0004,-0.0567,0.4906,2.0641,0,1,11.646
8,2012,0.1115,2.6967,0.2671,0.0588,0.4702,0.0,4,1,2.9332,21.011,0.2173,0.0253,0.1215,0.1136,0.6149,1.7288,1,0,11.1724
8,2013,0.0862,0.1261,2.6967,0.1697,0.6129,0.4231,5,0,0.0,24.4915,0.3735,-0.0562,0.082,0.2791,0.912,1.9171,1,0,9.5005
8,2014,0.1947,0.812,0.1261,0.319,0.1671,0.6633,2,0,0.0,22.7546,0.3363,0.1264,0.1124,-0.1512,0.4725,2.0798,0,0,10.7897
8,2015,0.4615,0.8615,0.812,0.6024,0.4675,0.2691,3,0,1.618,24.7142,0.582,-0.0423,0.0756,0.2558,0.2977,2.2784,0,0,9.3795
8,2016,0.2143,0.2411,0.8615,0.0,0.4651,0.4001,5,0,1.3218,24.9039,0.804,0.0611,0.0598,-0.0563,0.6352,1.8606,0,0,10.8447
8,2017,0.3263,1.9595,0.2411,0.1446,0.3659,0.253,4,0,2.4777,23.109,0.1786,-0.0003,0.078,0.3869,0.698,1.9557,1,0,10.652
8,2018,0.4004,1.5438,1.9595,0.4089,0.4718,0.3386,2,1,2.7863,22.8717,0.5901,-0.0122,0.0884,-0.2903,0.6184,2.0778,1,0,10.5491
8,2019,0.3696,2.9029,1.5438,0.1202,0.4354,0.5639,2,0,1.9572,24.0793,0.563,0.124,-0.0448,0.2339,0.7118,2.122,0,0,11.3418
8,2020,0.4876,2.8356,2.9029,0.5433,0.4578,0.1763,3,1,1.68,20.7639,0.05,0.0745,0.1,0.2813,0.5196,2.0224,0,1,10.568
8,2021,0.2336,0.5254,2.8356,0.1769,0.5009,0.2953,5,0,1.8229,23.6641,0.2849,0.1411,0.1472,-0.2338,0.6876,2.0062,1,0,10.5715
8,2022,0.3287,0.8049,0.5254,0.1699,0.2648,0.5472,6,0,1.8979,23.205,0.1135,0.0933,0.0922,0.3977,0.671,2.0466,0,0,10.6472
8,2023,0.2237,4.3024,0.8049,0.2309,0.3857,0.0855,4,0,2.8213,21.5479,0.2911,0.0576,0.0682,-0.1789,0.5292,2.1428,0,1,10.3124
9,2013,0.3861,0.488,,0.733,0.9277,0.2447,5,1,1.8345,21.1267,0.897,-0.03,-0.0938,0.0937,0.4183,2.4417,1,0,10.1515
9,2014,0.5856,0.5069,0.488,0.3696,0.809,0.1074,4,0,0.4769,21.912,0.2735,-0.0125,-0.0018,0.1369,0.7889,2.1857,0,1,10.9666
9,2015,0.1416,2.3945,0.5069,0.1256,0.6517,0.1029,6,0,2.5716,19.9608,0.138,0.0456,0.0371,0.2859,0.367,1.9885,0,1,11.7539
9,2016,0.1819,0.9875,2.3945,0.3676,0.584,0.4912,5,1,1.7174,25.4813,0.05,0.0365,0.0846,0.26,0.8059,2.2967,0,0,11.6859
9,2017,0.196,2.3534,0.9875,0.1858,0.6444,0.3565,2,0,2.5961,19.0658,0.6865,-0.0035,-0.0037,-0.1707,0.3631,2.4172,1,0,11.8776
9,2018,0.1075,1.9343,2.3534,0.2405,0.01,0.3329,5,0,3.4079,22.1085,0.4655,-0.0121,0.0293,0.1298,0.6026,2.2696,0,1,11.4525
9,2019,0.2793,1.4654,1.9343,0.2736,0.6333,0.4401,6,0,2.4367,23.7422,0.4673,-0.0373,-0.0485,-0.0605,0.5633,2.1307,0,1,12.013
9,2020,0.3856,0.6522,1.4654,0.2795,0.3836,0.0597,4,0,2.2175,22.4797,0.4395,0.0495,0.0234,0.4071,0.7126,2.094,0,1,10.8551
10,2012,0.4165,1.6079,,0.4062,0.4202,0.5646,6,1,2.8302,21.6342,0.3531,0.0383,0.0514,0.3016,0.6288,2.1645,0,0,10.3801
10,2013,0.4178,1.1211,1.6079,0.4302,0.2099,0.4408,5,0,2.6809,21.2038,0.1416,-0.0642,0.1206,0.5263,0.4773,2.2524,0,0,10.5203
10,2014,0.2946,1.2222,1.1211,0.5118,0.4385,0.4391,4,0,2.2785,23.4886,0.3532,0.0945,0.0782,0.7767,0.6018,2.1199,0,1,9.8404
10,2015,0.301,1.904,1.2222,0.4909,0.6333,0.227,4,0,2.6405,22.7073,0.7196,0.1279,0.0208,0.001,0.5234,1.9456,0,0,10.4275
10,2016,0.295,0.5734,1.904,0.0333,0.7096,0.221,3,1,2.9012,23.6594,0.3406,0.1247,0.0065,-0.1339,0.5397,2.2296,1,1,10.6745
10,2017,0.5104,0.3557,0.5734,0.1422,0.3397,0.5349,5,0,1.4324,19.031,0.7011,0.0085,0.124,-0.1047,0.6229,1.841,1,0,11.1443
10,2018,0.0894,0.5874,0.3557,0.0155,0.01,0.4242,5,0,2.0388,20.3488,0.0622,0.053,0.1164,0.7402,0.7583,1.9736,0,1,11.8796
10,2019,0.4222,0.2712,0.5874,0.2654,0.1967,0.0328,3,1,1.1636,22.2999,0.5087,0.0254,-0.0515,-0.5495,0.6116,2.1398,0,1,11.9217
10,2020,0.4212,1.1958,0.2712,0.2704,0.01,0.3646,6,1,2.4931,21.6947,0.3437,-0.0029,0.0688,0.006,0.6145,1.9853,0,0,11.3793
10,2021,0.2833,3.4959,1.1958,0.4882,0.5195,0.4095,5,1,2.7616,20.4331,0.5899,-0.0041,0.0622,0.2517,0.7557,2.3569,1,0,11.6503
10,2022,0.0,3.7056,3.4959,0.4911,0.143,0.4471,5,0,3.1064,20.0875,0.2693,0.0405,0.0861,0.0114,0.5533,2.3877,1,0,10.9193
10,2023,0.2229,0.6831,3.7056,0.0319,0.01,0.2407,4,0,1.1005,23.9339,0.296,0.0602,0.1083,-0.181,0.5872,2.0552,0,0,10.7112
11,2015,0.151,0.7474,,0.1068,0.3829,0.3329,4,0,3.1718,23.8349,0.7387,0.0697,0.0332,-0.3379,0.7078,2.2643,0,0,10.6485
11,2016,0.0,0.204,0.7474,0.2075,0.3055,0.2413,6,1,1.8564,22.7535,0.4289,0.0138,0.0779,-0.1861,0.8015,1.9426,0,0,10.7288
11,2017,0.4609,1.0023,0.204,0.2961,0.4885,0.2895,4,1,2.0721,23.422,0.3487,0.0816,0.0976,0.2822,0.4948,2.2048,0,0,11.2327
11,2018,0.3353,0.0012,1.0023,0.1914,0.225,0.3881,5,0,2.5551,23.0043,0.3255,0.0627,0.0332,0.6124,0.6584,1.9342,0,0,10.311
11,2019,0.3223,0.8387,0.0012,0.2296,0.1646,0.0,4,0,3.4627,24.3411,0.203,0.0756,0.0239,0.4411,0.4368,2.0864,0,0,11.3835
11,2020,0.2686,0.3275,0.8387,0.3898,0.4928,0.7344,5,1,2.311,23.614,0.5466,0.0983,-0.0269,0.0197,0.6719,2.3616,1,0,10.624
11,2021,0.3238,1.946,0.3275,0.1691,0.2891,0.3444,3,0,0.3506,23.0982,0.8944,-0.0472,0.0101,-0.1188,0.706,1.998,0,1,10.8664
12,2011,0.0861,0.5249,,0.0416,0.1442,0.0254,5,0,0.8885,24.0391,0.2822,0.2004,0.1236,0.5462,0.6537,2.1595,0,0,10.4532
12,2012,0.2578,0.4502,0.5249,0.2218,0.0428,0.5343,4,0,2.4608,24.5534,0.3143,0.0759,0.0507,0.2365,0.223,1.9595,1,0,11.4251
12,2013,0.1262,0.9508,0.4502,0.6021,0.3965,0.2725,4,0,1.8251,22.0054,0.3944,-0.0338,0.0444,-0.4695,0.3945,2.0581,0,0,12.013
12,2014,0.0393,0.2375,0.9508,0.4176,0.2828,0.4764,5,0,2.1193,23.8091,0.3599,0.0847,0.1488,0.636,0.3887,2.0647,0,0,10.9049
12,2015,0.354,2.5708,0.2375,0.6841,0.4563,0.4106,5,0,1.768,22.3658,0.4368,0.069,0.0378,0.1838,0.4115,2.4819,0,1,12.013
12,2016,0.2038,1.7491,2.5708,0.1931,0.4978,0.3403,4,1,2.1285,19.504,0.3643,-0.034,0.0561,-0.383,0.8939,2.0362,0,0,10.8068
12,2017,0.1872,1.6215,1.7491,0.1641,0.7747,0.093,2,0,1.2765,23.1092,0.2044,-0.0092,0.0809,-0.1871,0.4656,2.1036,1,1,10.4803
12,2018,0.2523,1.3768,1.6215,0.107,0.7314,0.347,4,0,1.2952,22.0894,0.3476,0.1139,0.0364,0.3536,0.6187,2.4696,0,0,10.8496
12,2019,0.3279,0.9991,1.3768,0.348,0.6292,0.3038,3,0,1.5262,22.004,0.05,-0.0093,0.1744,0.833,0.5104,1.9868,0,1,9.6606
12,2020,0.2505,1.7999,0.9991,0.2096,0.1023,0.5539,4,0,3.526,22.6844,0.4126,-0.0534,-0.0347,-0.309,0.7158,2.1271,0,1,11.3284
12,2021,0.4049,0.1086,1.7999,0.4346,0.4032,0.1463,4,0,0.9189,21.6678,0.5221,0.0163,0.0384,0.0172,0.2936,2.1433,0,1,11.134
12,2022,0.3465,2.6134,0.1086,0.141,0.1203,0.6303,4,0,3.5136,23.132,0.27,-0.0652,0.0862,0.4388,0.5446,2.1764,0,0,11.2944
12,2023,0.2114,2.3438,2.6134,0.3257,0.0696,0.0667,3,0,3.2212,23.4525,0.488,0.0092,0.0312,0.4696,0.3976,2.1453,0,1,11.8513
13,2012,0.3633,1.8375,,0.1642,0.6252,0.3958,3,1,1.7214,22.8831,0.6185,0.0276,0.0529,0.6939,0.6592,2.1799,0,1,9.696
13,2013,0.3359,0.1549,1.8375,0.446,0.4923,0.2229,5,0,2.0021,21.4916,0.6485,-0.0225,-0.0113,0.7797,0.4497,2.1355,0,0,10.3361
13,2014,0.3533,0.8317,0.1549,0.0689,0.3646,0.6454,2,0,0.9849,22.0766,0.42,-0.0324,0.1065,0.7804,0.6099,2.1766,0,1,11.4265
13,2015,0.3878,0.5639,0.8317,0.363,0.7176,0.07,3,1,2.8426,22.2771,0.4721,-0.0012,0.0772,-0.2187,0.6965,2.1483,0,0,12.013
13,2016,0.3218,1.3779,0.5639,0.3182,0.5109,0.2878,4,0,3.526,22.5568,0.6248,-0.0195,0.0084,0.7716,0.5496,2.3218,0,0,10.073
13,2017,0.0,0.4207,1.3779,0.0219,0.2279,0.5453,3,0,2.3994,22.8829,0.3735,0.1173,0.0874,-0.115,0.3434,2.0929,0,0,10.4927
13,2018,0.7805,3.0458,0.4207,0.6737,0.924,0.3557,4,0,1.7066,23.7052,0.4276,0.147,-0.0459,-0.0778,0.6871,2.2547,1,0,10.2198
13,2019,0.3656,2.6283,3.0458,0.3576,0.6218,0.5913,3,1,1.5345,25.0022,0.2269,-0.0511,0.087,0.9679,0.3373,2.1429,0,0,11.6514
13,2020,0.3976,1.481,2.6283,0.4209,0.3,0.1409,2,0,2.0279,20.1664,0.7838,-0.0172,0.0547,-0.3835,0.6732,2.1758,0,0,11.1183
13,2021,0.2814,1.4138,1.481,0.3718,0.2961,0.7929,4,0,3.526,21.9817,0.717,0.0266,-0.0472,-0.2828,0.5551,1.9396,1,0,10.1174
13,2022,0.4366,1.2952,1.4138,0.0,0.3338,0.3148,4,0,1.0707,23.3388,0.4091,-0.028,0.0605,-0.4902,0.4054,2.0786,1,0,11.0887
13,2023,0.3418,2.3994,1.2952,0.1924,0.5969,0.0,2,0,0.0,22.7164,0.2889,0.0861,0.1012,-0.0516,0.8452,2.145,1,0,10.8153
14,2016,0.3945,2.7476,,0.516,0.0869,0.0031,5,0,1.5397,21.506,0.4098,0.0666,0.0966,0.4967,0.5795,2.0566,1,0,10.4823
14,2017,0.1157,1.3192,2.7476,0.2969,0.244,0.7167,6,1,2.7173,22.2824,0.5753,0.0225,0.0672,0.6194,0.6986,2.4914,0,0,11.2822
14,2018,0.1228,2.7813,1.3192,0.2082,0.4906,0.5133,4,0,1.765,21.5418,0.7616,0.1079,0.024,0.034,0.5154,2.3123,0,0,10.1752
14,2019,0.4201,1.4029,2.7813,0.0,0.3648,0.9791,4,1,0.5534,22.1596,0.52,0.032,0.1009,0.2847,0.6543,1.8139,0,0,10.5827
14,2020,0.2935,1.6256,1.4029,0.6506,0.3704,0.2104,5,1,2.8111,20.7855,0.05,0.0272,0.0853,0.7349,0.4054,2.1544,0,1,10.163
14,2021,0.168,0.7361,1.6256,0.5557,0.4156,0.2633,3,0,1.8958,21.4781,0.4989,0.1241,0.0148,0.0645,0.4325,2.3768,0,1,9.6227
14,2022,0.1927,0.6205,0.7361,0.3259,0.6569,0.3833,4,0,2.4584,21.5064,0.519,-0.0295,0.1505,-0.5312,0.5327,2.2105,0,1,9.2973
14,2023,0.0,0.917,0.6205,0.6526,0.1539,0.0,5,0,3.0415,23.3308,0.1243,0.0302,-0.0016,0.6592,0.7083,2.1755,0,0,10.0454
15,2011,0.3175,0.443,,0.323,0.01,0.3853,4,0,1.4229,22.2466,0.0855,-0.0516,0.0069,0.0314,0.6247,2.3637,0,1,10.2949
15,2012,0.373,2.1072,0.443,0.2516,0.5479,0.2359,4,0,1.9538,24.9426,0.4834,-0.0534,0.0845,0.6249,0.7056,2.0737,0,1,11.2753
15,2013,0.4559,2.1979,2.1072,0.4053,0.3541,0.3864,6,0,1.1094,21.6596,0.4417,-0.0021,0.0269,0.839,0.6882,1.891,0,0,11.3829
15,2014,0.1164,0.3662,2.1979,0.0,0.0899,0.4207,4,0,1.4877,22.8379,0.5935,0.1014,0.1611,-0.1509,0.5785,2.2973,0,0,10.9094
15,2015,0.5514,1.7119,0.3662,0.3989,0.319,0.2524,3,0,2.4028,23.3529,0.4127,0.048,-0.0484,0.4927,0.8074,2.0895,0,0,10.4716
15,2016,0.2366,2.6873,1.7119,0.2697,0.5348,0.0515,4,1,2.7375,22.5222,0.3019,0.0353,0.1003,0.2802,0.7015,2.4926,1,0,10.1339
15,2017,0.2775,0.8744,2.6873,0.3442,0.2778,0.233,5,0,1.4866,22.7061,0.2386,0.0605,0.0989,-0.2074,0.4572,2.3256,0,1,10.8439
16,2012,0.1527,4.4199,,0.7271,0.1879,0.3028,5,0,1.3246,20.3482,0.4001,0.0172,0.1016,-0.2858,0.7329,1.9032,0,1,10.0116
16,2013,0.2458,1.9694,4.4199,0.155,0.5084,0.2232,6,0,2.0034,21.923,0.0611,-0.0103,0.0508,-0.2672,0.4019,2.2666,1,1,9.5183
16,2014,0.2662,1.419,1.9694,0.3065,0.7604,0.532,4,1,2.275,25.3102,0.2288,-0.0444,0.0869,0.6112,0.2536,1.9866,0,0,11.9352
16,2015,0.2844,2.1015,1.419,0.2661,0.5349,0.4229,3,0,1.9627,22.6464,0.2248,0.0138,0.1086,0.7993,0.8388,1.8103,0,0,9.8128
16,2016,0.4281,1.4451,2.1015,0.2961,0.5478,0.0,6,0,2.3114,24.579,0.5559,-0.0778,0.0257,-0.2828,0.5083,1.9517,0,0,11.4583
16,2017,0.342,1.0629,1.4451,0.2521,0.3919,0.0,5,0,1.8718,23.7692,0.4695,0.0262,0.0555,-0.0376,0.6378,1.609,0,1,10.631
16,2018,0.3906,2.6912,1.0629,0.16,0.3125,0.1351,5,0,2.3731,19.9869,0.3714,0.1249,0.1388,0.1164,0.7494,2.4984,0,0,10.8505
16,2019,0.2883,1.0759,2.6912,0.2342,0.6464,0.4055,5,0,1.2937,22.9618,0.6132,0.0009,0.0934,0.6913,0.732,2.0474,0,1,11.6174
