stage,gamma,LR
1,2.098021552127876,114.42531352595137
1,2.104602444576418,112.88485133065704
1,2.1220395110883916,100.04998380551987
1,2.133853231047283,94.26956719952528
1,2.1510829357820134,93.957897453199
1,2.1829369657157134,75.6193656110459
1,2.197846211790943,61.62335291505957
1,2.2083765005437286,35.75781082275682
1,2.2322573746092225,0.0
2,1.0847228998586254,191.26833332237553
2,1.096384922994509,183.9465557764638
2,1.1239035105968391,180.37702291938183
2,1.147936369664901,167.34214394166096
2,1.1632112492160145,158.12039595478933
2,1.1852550569029232,151.05096079480842
2,1.192931435567932,119.54705181887219
2,1.2052914993926356,103.16206210639017
2,1.2122117411374131,98.58022723218795
2,1.2340884159525585,95.24316017818278
2,1.2467551533791392,67.85925044960679
2,1.2631917390327965,32.99719596242182
2,1.2786062602269992,0.0
2,1.2957763552924886,12.733710733541145
2,1.3378337603103352,29.547847080512362
2,1.339708930699915,84.69854327814284
2,1.3464504752180184,98.84802407826835
2,1.3587975688732807,105.20427945220086
2,1.3684292347242657,119.26818312871919
2,1.3777877449926414,137.96326156586588
2,1.4031002618289166,154.4643471454419
2,1.4307119837284141,154.73367617267314
2,1.4446252142379377,164.8745707941859
2,1.4550544953122946,171.62798181968165
2,1.463834906966365,179.12007907773452
2,1.4670431162877346,182.68005821275267
2,1.4693161866115076,192.10293043151407
2,1.4855779495878234,196.4784464014021
2,1.4915185368402581,197.38280069907182
2,1.4994250614827862,201.13516499831317
2,1.5041675159528407,201.16924905873464
2,1.5165616343084678,201.19633440037944
2,1.523865622619982,201.180414935625
2,1.5309506262581447,200.50348048894307
2,1.537093074036295,201.08756010059645
2,1.5460192451361758,201.15915444386135
2,1.5610712501387718,201.21496973777548
2,1.566444799610142,201.2126012470847
2,1.5776765659077596,201.21532435199563
2,1.5941822657211888,200.92171066056846
2,1.6045091274866494,199.5837116463845
2,1.6121537147260299,199.7780989284021
2,1.6195377302541119,199.5584666397104
2,1.6242831189164284,196.9463120965255
2,1.6257931690901795,197.23285672759886
2,1.6410632924446515,196.70430548238485
2,1.650883458969554,194.61018855509013
2,1.654821855548771,191.81773923163914
2,1.6574570076036863,191.20250467476467
2,1.660913470613324,193.0319317422533
2,1.6720069424550341,192.96365549399854
2,1.6767927689005768,191.16066640801074
2,1.682559115389067,192.46543329781292
2,1.6915157527047675,192.82825308282455
2,1.7033228740302027,193.12221488146514
2,1.7154651111132704,194.2922653783174
2,1.7201622771380602,193.04667639524624
2,1.7243461312903403,191.404881565995
2,1.729711585192689,191.7507547216186
2,1.732579714238038,190.49659852381842
2,1.7373611482898998,190.1221139946645
2,1.743229419189412,188.72612065726955
2,1.7550236492601268,185.41246465654604
2,1.7612551428613952,184.27406192426352
2,1.7713355105658328,182.11031854817992
2,1.7779747648037432,178.48211256566685
2,1.784184446760592,184.62196365843803
2,1.798933917576006,189.19149037852677
2,1.803426636990615,188.35306632523185
2,1.810453548691118,187.82313250718627
2,1.8270755436230788,183.99841592926083
2,1.830833396680446,184.6028946182737
2,1.8396142913418767,183.19115672943354
2,1.849125413921224,185.45819366855622
2,1.8610004334287626,189.86944299520673
2,1.874131768587342,189.1018219686256
2,1.8776299788995645,190.75813133720138
2,1.8842679054942038,193.25442175079618
2,1.8868234545821163,193.35451925011088
2,1.8896025197414312,196.29820232915182
2,1.901653073709289,196.4850964038116
2,1.9088308042661446,195.57671163347626
2,1.9191270450545013,193.90398517484556
2,1.9281472111458389,194.06709116124523
2,1.9422253964073501,194.8574282506489
2,1.9548117554725206,194.40180345364786
2,1.9659745226238552,194.8739156148486
2,1.9924051907565234,195.33895945046908
2,2.003841196181539,198.31795604882745
2,2.028766335434596,199.13540421694722
2,2.0426551575917538,200.47711585091548
2,2.0772726960815344,201.18670803770212
2,2.098021552127876,201.0646256986854
2,2.104602444576418,200.95599300439594
2,2.1220395110883916,200.0030593992035
