Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
,Std,2.894E+03,4.697E+03,3.179E+05,7.719E+03,9.159E+03,3.167E+05,9.189E+03,1.153E+03,9.083E+03,1.072E+04,1.335E+00
,Rank,3,5,11,4,7,10,8,2,6,9,1
F20,Best,5.190E+00,3.210E+00,7.157E+01,2.282E+01,5.006E+01,8.793E+01,7.894E+00,1.968E+00,2.937E+01,2.225E+01,5.091E+00
,Mean,3.145E+01,2.684E+01,1.431E+02,1.282E+02,7.639E+01,2.077E+02,4.698E+01,3.160E+01,1.025E+02,1.468E+02,1.380E+01
,Std,1.056E+01,1.059E+01,5.367E+01,7.306E+01,2.563E+01,6.224E+01,5.341E+01,1.421E+01,5.698E+01,9.292E+01,7.068E+00
,Rank,3,2,9,8,6,11,5,4,7,10,1
F21,Best,1.017E+02,1.024E+02,2.148E+02,1.009E+02,1.043E+02,1.091E+02,1.013E+02,1.909E+02,1.027E+02,1.004E+02,1.083E+02
,Mean,1.850E+02,1.698E+02,2.316E+02,1.944E+02,2.010E+02,1.201E+02,2.085E+02,2.198E+02,1.912E+02,2.149E+02,1.725E+02
,Std,4.887E+01,5.292E+01,9.565E+00,6.098E+01,4.677E+01,7.940E+00,4.835E+01,1.330E+01,5.225E+01,5.256E+01,4.180E+01
,Rank,4,2,11,6,7,1,8,10,5,9,3
F22,Best,2.696E+01,1.000E+02,1.010E+02,4.040E+01,3.835E+01,8.777E+01,2.896E+01,1.000E+02,1.029E+02,2.246E+01,1.000E+02
,Mean,9.648E+01,1.014E+02,1.173E+02,2.156E+02,1.090E+02,1.824E+02,1.688E+02,1.001E+02,1.196E+02,1.104E+02,1.005E+02
,Std,1.814E+01,9.585E-01,1.126E+01,3.228E+02,1.959E+01,5.293E+01,2.581E+02,1.703E-01,2.226E+01,4.410E+01,3.907E-01
,Rank,1,4,7,11,5,10,9,2,8,6,3
F23,Best,3.107E+02,3.063E+02,3.059E+02,3.172E+02,3.148E+02,3.439E+02,3.073E+02,3.039E+02,3.119E+02,3.183E+02,3.055E+02
,Mean,3.192E+02,3.139E+02,3.255E+02,3.433E+02,3.275E+02,3.619E+02,3.290E+02,3.157E+02,3.258E+02,3.411E+02,3.091E+02
,Std,6.810E+00,4.792E+00,1.197E+01,1.530E+01,4.193E+00,1.214E+01,1.024E+01,1.013E+01,1.162E+01,1.749E+01,1.843E+00
,Rank,4,2,5,10,7,11,8,3,6,9,1
F24,Best,1.009E+02,1.008E+02,3.373E+02,1.027E+02,3.469E+02,2.175E+02,1.011E+02,3.297E+02,1.000E+02,3.455E+02,1.384E+02
,Mean,2.622E+02,2.768E+02,3.514E+02,3.730E+02,3.575E+02,3.599E+02,3.501E+02,3.482E+02,3.157E+02,3.711E+02,2.950E+02
,Std,1.129E+02,1.048E+02,8.432E+00,5.437E+01,5.571E+00,6.422E+01,6.869E+01,1.350E+01,9.464E+01,1.591E+01,6.828E+01
,Rank,1,2,7,11,8,9,6,5,4,10,3
F25,Best,3.982E+02,3.981E+02,4.136E+02,3.980E+02,4.027E+02,4.310E+02,3.981E+02,3.984E+02,3.979E+02,3.977E+02,3.977E+02
,Mean,4.212E+02,4.219E+02,4.383E+02,4.391E+02,4.296E+02,4.828E+02,4.348E+02,4.400E+02,4.446E+02,4.409E+02,4.104E+02
,Std,2.332E+01,2.220E+01,1.486E+01,2.448E+01,1.442E+01,3.651E+01,2.890E+01,1.774E+01,3.127E+01,2.692E+01,2.033E+01
,Rank,2,3,6,7,4,11,5,8,10,9,1
F26,Best,3.000E+02,3.000E+02,3.003E+02,2.224E+02,3.325E+02,4.300E+02,2.188E+02,3.000E+02,2.001E+02,3.001E+02,3.000E+02
,Mean,3.167E+02,3.075E+02,5.882E+02,5.901E+02,3.713E+02,5.234E+02,5.469E+02,4.293E+02,6.011E+02,5.599E+02,3.000E+02
,Std,2.643E+01,1.671E+01,3.907E+02,3.935E+02,2.428E+01,5.925E+01,4.089E+02,3.194E+02,3.552E+02,3.385E+02,6.542E-03
,Rank,3,2,9,10,4,6,7,5,11,8,1
F27,Best,3.891E+02,3.895E+02,3.932E+02,3.919E+02,3.921E+02,3.976E+02,3.900E+02,3.890E+02,3.915E+02,3.900E+02,3.879E+02
,Mean,3.919E+02,3.932E+02,4.036E+02,4.062E+02,3.950E+02,4.016E+02,4.067E+02,3.905E+02,4.010E+02,4.283E+02,3.894E+02
,Std,2.382E+00,2.736E+00,1.811E+01,1.707E+01,1.612E+00,2.467E+00,2.581E+01,1.732E+00,1.167E+01,3.994E+01,3.482E-01
,Rank,3,4,8,9,5,7,10,2,6,11,1
F28,Best,3.002E+02,3.004E+02,4.450E+02,3.703E+02,3.682E+02,4.256E+02,3.006E+02,3.681E+02,3.790E+02,3.023E+02,3.000E+02
,Mean,4.492E+02,3.981E+02,6.069E+02,5.190E+02,4.469E+02,5.466E+02,5.305E+02,5.902E+02,5.356E+02,5.425E+02,3.503E+02
,Std,1.072E+02,6.164E+01,6.275E+01,1.017E+02,7.544E+01,8.479E+01,1.443E+02,5.602E+01,9.148E+01,1.371E+02,1.054E+02
,Rank,4,2,11,5,3,9,6,10,7,8,1
F29,Best,2.408E+02,2.414E+02,2.717E+02,2.399E+02,2.555E+02,2.599E+02,2.614E+02,2.440E+02,2.436E+02,2.718E+02,2.527E+02
,Mean,2.785E+02,2.826E+02,3.280E+02,3.826E+02,2.929E+02,4.148E+02,3.849E+02,2.776E+02,3.214E+02,3.911E+02,2.707E+02
,Std,2.943E+01,2.871E+01,3.605E+01,8.787E+01,1.796E+01,6.800E+01,8.526E+01,1.995E+01,6.344E+01,7.614E+01,9.634E+00
,Rank,3,4,7,8,5,11,9,2,6,10,1
F30,Best,8.462E+03,6.709E+03,1.330E+05,3.016E+03,1.415E+05,8.887E+05,1.419E+04,1.635E+04,1.162E+04,2.020E+03,4.961E+02
,Mean,8.823E+05,5.437E+05,5.900E+06,6.231E+05,1.162E+06,9.045E+05,7.739E+05,1.129E+06,8.628E+05,1.591E+06,1.987E+04
,Std,7.809E+05,5.785E+05,6.625E+06,6.412E+05,7.768E+05,4.784E+03,6.735E+05,7.779E+05,7.448E+05,2.285E+06,4.131E+04
,Rank,6,2,11,3,9,7,4,8,5,10,1
