OLC,me,lo,hi
1.9000000000000004,-0.037075358019238974,-0.05971924493214367,-0.014431471106334273
1.9500000000000002,-0.03495001496007634,-0.05804220297374596,-0.011857826946406719
2.0,-0.03282467190091369,-0.05636804185201208,-0.009281301949815298
2.05,-0.030699328841751042,-0.054696599076326985,-0.006702058607175102
2.1000000000000005,-0.028573985782588365,-0.05302772327667323,-0.004120248288503499
2.1500000000000004,-0.026448642723425717,-0.051361273351469096,-0.0015360120953823372
2.2,-0.02432329966426308,-0.0496971176830478,0.0010505183545216346
2.25,-0.022197956605100433,-0.04803513341590637,0.0036392202057055102
2.3000000000000007,-0.020072613545937756,-0.04637520579302738,0.00622997870115187
2.3500000000000005,-0.017947270486775108,-0.04471722754579624,0.008822686572246021
2.4000000000000004,-0.015821927427612473,-0.043061098333283906,0.011417243478058958
2.45,-0.013696584368449824,-0.04140672422692554,0.014013555490025892
2.5,-0.011571241309287175,-0.039754017236891565,0.016611534618317214
