Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
,Mean,6.117E+02,2.286E+03,9.133E+02,7.055E+02,2.352E+03,7.510E+02,6.071E+02,6.092E+02,6.649E+02,6.061E+02,6.042E+02
,Std,5.689E+00,2.248E+03,3.954E+02,1.201E+02,2.341E+03,2.295E+02,5.189E+00,5.675E+00,7.047E+01,6.502E+00,3.720E+00
,Rank,5,10,9,7,11,8,3,4,6,2,1
F7,Best,7.003E+02,7.051E+02,7.261E+02,7.010E+02,7.150E+02,7.054E+02,7.002E+02,7.001E+02,7.020E+02,7.022E+02,7.021E+02
,Mean,7.010E+02,9.364E+02,1.163E+03,7.111E+02,1.668E+03,7.863E+02,7.020E+02,7.005E+02,7.450E+02,7.257E+02,7.106E+02
,Std,4.512E-01,2.536E+02,9.356E+02,1.177E+01,1.310E+03,9.582E+01,1.644E+00,4.088E-01,5.144E+01,3.293E+01,7.860E+00
,Rank,2,9,10,5,11,8,3,1,7,6,4
F8,Best,8.002E+02,8.017E+02,8.153E+02,8.012E+02,8.485E+02,8.005E+02,8.003E+02,8.001E+02,8.016E+02,8.002E+02,8.003E+02
,Mean,8.006E+02,8.527E+02,1.212E+03,8.143E+02,1.919E+03,8.117E+02,8.023E+02,8.007E+02,8.160E+02,8.016E+02,8.016E+02
,Std,2.669E-01,6.076E+01,4.817E+02,1.661E+01,2.143E+03,1.776E+01,2.867E+00,7.013E-01,1.916E+01,1.821E+00,1.223E+00
,Rank,1,9,10,7,11,6,5,2,8,4,3
F9,Best,9.010E+02,9.405E+02,9.255E+02,9.006E+02,1.044E+03,9.056E+02,9.006E+02,9.002E+02,9.015E+02,9.002E+02,9.005E+02
,Mean,9.022E+02,1.670E+03,1.699E+03,9.064E+02,4.077E+03,9.762E+02,9.034E+02,9.016E+02,9.176E+02,9.047E+02,9.028E+02
,Std,7.769E-01,1.653E+03,2.465E+03,4.847E+00,6.578E+03,9.557E+01,2.533E+00,1.193E+00,2.036E+01,4.772E+00,1.798E+00
,Rank,2,9,10,6,11,8,4,1,7,5,3
F10,Best,1.001E+03,1.090E+03,1.041E+03,1.026E+03,1.109E+03,1.053E+03,1.004E+03,1.001E+03,1.035E+03,1.009E+03,1.001E+03
,Mean,1.003E+03,2.843E+03,1.791E+03,1.347E+03,8.689E+03,1.624E+03,1.023E+03,1.010E+03,1.371E+03,1.096E+03,1.008E+03
,Std,1.400E+00,2.390E+03,8.171E+02,4.086E+02,1.196E+04,7.124E+02,1.912E+01,7.795E+00,4.809E+02,1.172E+02,7.567E+00
,Rank,1,10,9,6,11,8,4,3,7,5,2
F11,Best,1.105E+03,1.195E+03,2.113E+03,1.117E+03,2.359E+03,1.217E+03,1.111E+03,1.104E+03,1.150E+03,1.115E+03,1.136E+03
,Mean,1.110E+03,5.314E+03,1.746E+04,1.452E+03,3.357E+04,3.842E+03,1.178E+03,1.134E+03,3.286E+03,1.291E+03,1.313E+03
,Std,3.684E+00,4.233E+03,1.970E+04,5.140E+02,4.317E+04,3.767E+03,5.776E+01,4.033E+01,2.495E+03,2.168E+02,2.075E+02
,Rank,1,9,10,6,11,8,3,2,7,4,5
F12,Best,1.211E+03,1.389E+03,1.537E+03,1.218E+03,1.404E+03,1.219E+03,1.202E+03,1.201E+03,1.310E+03,1.206E+03,1.216E+03
,Mean,1.221E+03,1.036E+04,6.966E+03,1.323E+03,1.164E+04,1.313E+03,1.221E+03,1.208E+03,1.757E+03,1.300E+03,1.248E+03
,Std,5.425E+00,2.026E+04,8.114E+03,1.249E+02,1.135E+04,8.792E+01,2.024E+01,4.737E+00,5.864E+02,9.427E+01,3.538E+01
,Rank,2,10,9,7,11,6,3,1,8,5,4
F13,Best,1.308E+03,1.476E+03,2.572E+03,1.307E+03,1.802E+03,1.328E+03,1.315E+03,1.303E+03,1.372E+03,1.310E+03,1.306E+03
,Mean,1.318E+03,4.542E+03,1.014E+04,1.536E+03,1.453E+04,1.645E+03,1.381E+03,1.350E+03,2.138E+03,1.482E+03,1.330E+03
,Std,9.953E+00,6.060E+03,1.041E+04,1.808E+02,1.534E+04,4.306E+02,5.770E+01,3.673E+01,1.418E+03,2.200E+02,2.093E+01
,Rank,1,9,10,6,11,7,4,3,8,5,2
F14,Best,1.401E+03,1.459E+03,1.467E+03,1.449E+03,1.548E+03,1.405E+03,1.403E+03,1.404E+03,1.417E+03,1.412E+03,1.413E+03
,Mean,1.405E+03,9.457E+03,2.365E+03,1.708E+03,1.636E+04,1.486E+03,1.418E+03,1.426E+03,1.549E+03,1.529E+03,1.447E+03
,Std,2.081E+00,1.880E+04,1.041E+03,3.202E+02,1.946E+04,1.067E+02,1.300E+01,2.205E+01,1.627E+02,1.118E+02,3.510E+01
,Rank,1,10,9,8,11,5,2,3,7,6,4
F15,Best,1.505E+03,1.504E+03,1.618E+03,1.512E+03,1.759E+03,1.503E+03,1.504E+03,1.502E+03,1.511E+03,1.504E+03,1.502E+03
,Mean,1.510E+03,1.737E+03,3.616E+03,1.674E+03,1.707E+04,1.582E+03,1.539E+03,1.517E+03,1.567E+03,1.535E+03,1.508E+03
,Std,3.941E+00,4.092E+02,3.066E+03,2.220E+02,2.221E+04,9.671E+01,3.618E+01,1.817E+01,4.993E+01,4.273E+01,6.487E+00
,Rank,2,9,10,8,11,7,5,3,6,4,1
F16,Best,1.605E+03,1.614E+03,1.984E+03,1.628E+03,1.738E+03,1.618E+03,1.621E+03,1.614E+03,1.612E+03,1.609E+03,1.614E+03
,Mean,1.611E+03,3.227E+03,1.034E+04,2.013E+03,1.224E+04,1.898E+03,1.690E+03,1.664E+03,2.140E+03,1.708E+03,1.675E+03
,Std,4.934E+00,2.042E+03,1.774E+04,3.974E+02,1.999E+04,3.608E+02,5.905E+01,4.450E+01,6.666E+02,9.345E+01,4.953E+01
,Rank,1,9,10,7,11,6,4,2,8,5,3
F17,Best,1.704E+03,1.717E+03,1.784E+03,1.706E+03,1.916E+03,1.716E+03,1.703E+03,1.701E+03,1.731E+03,1.703E+03,1.704E+03
,Mean,1.707E+03,2.382E+03,3.138E+03,1.956E+03,5.108E+03,1.998E+03,1.749E+03,1.712E+03,1.958E+03,1.780E+03,1.729E+03
,Std,2.837E+00,8.673E+02,1.408E+03,3.552E+02,3.470E+03,4.406E+02,3.383E+01,9.554E+00,2.593E+02,6.322E+01,1.889E+01
,Rank,1,9,10,6,11,8,4,2,7,5,3
F18,Best,1.803E+03,1.815E+03,1.866E+03,1.835E+03,1.834E+03,1.822E+03,1.803E+03,1.801E+03,1.815E+03,1.803E+03,1.804E+03
,Mean,1.808E+03,2.402E+03,3.322E+03,2.060E+03,4.300E+03,2.011E+03,1.816E+03,1.808E+03,1.926E+03,1.865E+03,1.822E+03
,Std,3.643E+00,7.276E+02,2.182E+03,2.066E+02,3.981E+03,2.242E+02,1.194E+01,8.737E+00,1.253E+02,7.185E+01,1.130E+01
,Rank,1,9,10,8,11,7,3,2,6,5,4
F19,Best,1.914E+03,1.997E+03,1.984E+03,1.909E+03,3.000E+03,1.929E+03,1.917E+03,1.936E+03,1.963E+03,1.906E+03,1.904E+03
,Mean,1.929E+03,8.301E+03,4.158E+03,2.274E+03,2.737E+04,2.136E+03,2.043E+03,2.165E+03,2.618E+03,1.943E+03,1.955E+03
,Std,1.139E+01,1.154E+04,2.875E+03,5.164E+02,2.867E+04,1.831E+02,1.442E+02,1.665E+02,1.061E+03,3.406E+01,3.882E+01
,Rank,1,10,9,7,11,5,4,6,8,2,3
F20,Best,2.002E+03,2.076E+03,2.079E+03,2.003E+03,2.136E+03,2.026E+03,2.003E+03,2.011E+03,2.012E+03,2.011E+03,2.003E+03
,Mean,2.007E+03,3.747E+03,7.259E+03,2.069E+03,4.768E+03,2.531E+03,2.016E+03,2.057E+03,2.085E+03,2.095E+03,2.016E+03
,Std,4.172E+00,2.163E+03,8.584E+03,9.776E+01,4.094E+03,7.338E+02,1.746E+01,3.740E+01,8.998E+01,1.015E+02,1.110E+01
,Rank,1,9,11,5,10,8,3,4,6,7,2
F21,Best,2.106E+03,2.145E+03,2.122E+03,2.112E+03,2.313E+03,2.187E+03,2.107E+03,2.103E+03,2.111E+03,2.109E+03,2.107E+03
,Mean,2.111E+03,3.717E+03,4.973E+03,2.190E+03,4.834E+03,2.728E+03,2.160E+03,2.120E+03,2.195E+03,2.238E+03,2.147E+03
,Std,3.788E+00,1.532E+03,7.218E+03,1.005E+02,4.933E+03,6.194E+02,5.600E+01,1.571E+01,8.561E+01,1.885E+02,3.879E+01
,Rank,1,9,11,5,10,8,4,2,6,7,3
F22,Best,2.200E+03,2.212E+03,2.275E+03,2.203E+03,2.223E+03,2.271E+03,2.201E+03,2.201E+03,2.203E+03,2.203E+03,2.202E+03
,Mean,2.201E+03,2.563E+03,4.489E+03,2.275E+03,3.977E+03,3.966E+03,2.212E+03,2.205E+03,2.231E+03,2.232E+03,2.209E+03
,Std,3.075E-01,3.806E+02,2.858E+03,7.409E+01,3.671E+03,3.338E+03,1.118E+01,4.162E+00,2.183E+01,4.867E+01,6.951E+00
,Rank,1,8,11,7,10,9,4,2,5,6,3
F23,Best,2.301E+03,2.318E+03,2.311E+03,2.301E+03,3.161E+03,2.324E+03,2.303E+03,2.302E+03,2.314E+03,2.320E+03,2.305E+03
,Mean,2.302E+03,3.159E+03,2.562E+03,2.329E+03,3.179E+04,2.552E+03,2.331E+03,2.313E+03,2.448E+03,2.440E+03,2.320E+03
,Std,9.032E-01,9.871E+02,6.840E+02,2.555E+01,3.726E+04,2.591E+02,2.151E+01,1.066E+01,1.730E+02,1.129E+02,1.196E+01
,Rank,1,10,9,4,11,8,5,2,7,6,3
F24,Best,2.400E+03,2.407E+03,2.406E+03,2.401E+03,2.426E+03,2.401E+03,2.400E+03,2.401E+03,2.400E+03,2.404E+03,2.401E+03
,Mean,2.401E+03,2.793E+03,2.537E+03,2.419E+03,3.499E+03,2.425E+03,2.415E+03,2.406E+03,2.406E+03,2.425E+03,2.405E+03
,Std,3.039E-01,8.087E+02,2.485E+02,2.248E+01,1.644E+03,6.803E+01,1.605E+01,4.427E+00,7.309E+00,2.739E+01,3.055E+00
,Rank,1,10,9,6,11,7,5,3,4,8,2
F25,Best,2.501E+03,2.510E+03,2.521E+03,2.503E+03,2.583E+03,2.501E+03,2.502E+03,2.500E+03,2.526E+03,2.502E+03,2.512E+03
,Mean,2.502E+03,3.020E+03,3.059E+03,2.522E+03,4.213E+03,2.549E+03,2.533E+03,2.502E+03,2.726E+03,2.534E+03,2.546E+03
,Std,6.844E-01,1.262E+03,1.479E+03,2.509E+01,3.053E+03,6.596E+01,4.844E+01,2.174E+00,2.063E+02,3.965E+01,3.478E+01
,Rank,1,9,10,3,11,7,4,2,8,5,6
F26,Best,2.601E+03,2.645E+03,2.638E+03,2.614E+03,2.778E+03,2.603E+03,2.601E+03,2.601E+03,2.608E+03,2.603E+03,2.601E+03
,Mean,2.603E+03,3.318E+03,3.026E+03,2.715E+03,5.586E+03,2.676E+03,2.614E+03,2.609E+03,2.789E+03,2.666E+03,2.604E+03
,Std,1.107E+00,7.665E+02,3.161E+02,1.153E+02,3.481E+03,1.115E+02,1.816E+01,7.998E+00,2.281E+02,1.086E+02,2.600E+00
,Rank,1,10,9,7,11,6,4,3,8,5,2
F27,Best,2.701E+03,2.707E+03,2.713E+03,2.708E+03,2.737E+03,2.703E+03,2.701E+03,2.701E+03,2.710E+03,2.701E+03,2.705E+03
,Mean,2.702E+03,2.872E+03,3.111E+03,2.790E+03,4.884E+03,2.775E+03,2.703E+03,2.704E+03,2.942E+03,2.705E+03,2.721E+03
,Std,7.579E-01,3.266E+02,5.479E+02,7.113E+01,3.908E+03,7.525E+01,2.082E+00,3.062E+00,3.126E+02,6.126E+00,2.150E+01
,Rank,1,8,10,7,11,6,2,3,9,4,5
F28,Best,2.804E+03,2.925E+03,2.896E+03,2.807E+03,2.926E+03,2.808E+03,2.805E+03,2.806E+03,2.904E+03,2.806E+03,2.818E+03
,Mean,2.813E+03,4.840E+03,4.973E+03,2.895E+03,5.632E+03,3.117E+03,2.854E+03,2.825E+03,3.854E+03,2.837E+03,2.868E+03
,Std,4.176E+00,2.701E+03,3.172E+03,1.295E+02,6.627E+03,6.663E+02,4.745E+01,2.163E+01,1.411E+03,3.507E+01,4.297E+01
,Rank,1,9,10,6,11,7,4,2,8,3,5
F29,Best,2.901E+03,2.952E+03,3.016E+03,2.902E+03,3.040E+03,2.951E+03,2.926E+03,2.903E+03,2.923E+03,2.907E+03,2.921E+03
,Mean,2.903E+03,7.193E+03,4.678E+03,2.945E+03,5.930E+03,3.276E+03,3.018E+03,2.929E+03,3.273E+03,2.967E+03,3.015E+03
,Std,9.906E-01,1.041E+04,2.396E+03,5.434E+01,6.601E+03,5.683E+02,8.671E+01,2.686E+01,4.634E+02,1.072E+02,8.135E+01
,Rank,1,11,9,3,10,8,6,2,7,4,5
F30,Best,3.010E+03,3.004E+03,3.021E+03,3.018E+03,3.149E+03,3.013E+03,3.001E+03,3.001E+03,3.036E+03,3.013E+03,3.010E+03
,Mean,3.021E+03,3.971E+03,3.739E+03,3.231E+03,1.082E+04,3.180E+03,3.008E+03,3.007E+03,3.498E+03,3.101E+03,3.046E+03
,Std,9.410E+00,1.393E+03,1.061E+03,3.483E+02,9.813E+03,1.499E+02,5.570E+00,5.101E+00,4.725E+02,8.567E+01,2.453E+01
,Rank,3,10,9,7,11,6,2,1,8,5,4
