Func,Index,SBOA,SBOA-GPSI,SBOA-LOBL,SBOA-ACGM,MSSBOA
F16,Best,1.935E+03,2.048E+03,1.968E+03,1.806E+03,1.681E+03
,Mean,3.664E+04,7.150E+03,7.427E+03,3.628E+03,1.828E+03
,Std,8.640E+04,5.090E+03,5.396E+03,1.822E+03,1.507E+02
F17,Best,2.164E+03,3.082E+03,2.217E+03,2.554E+03,2.313E+03
,Mean,3.034E+04,1.440E+04,9.560E+03,6.494E+03,3.188E+03
,Std,5.858E+04,9.882E+03,1.136E+04,3.728E+03,6.405E+02
F18,Best,1.973E+04,5.037E+03,5.456E+03,4.844E+03,2.389E+03
,Mean,3.137E+05,3.357E+04,3.433E+04,1.584E+04,3.915E+03
,Std,4.224E+05,3.619E+04,3.985E+04,1.027E+04,1.103E+03
F19,Best,2.916E+04,4.715E+03,3.324E+04,3.175E+03,5.047E+03
,Mean,3.564E+05,2.843E+04,1.494E+05,1.103E+04,1.061E+04
,Std,4.994E+05,2.053E+04,1.919E+05,7.131E+03,5.101E+03
F20,Best,2.159E+03,2.837E+03,2.204E+03,2.107E+03,2.090E+03
,Mean,1.762E+04,8.315E+03,4.578E+03,3.359E+03,2.323E+03
,Std,2.462E+04,6.369E+03,2.276E+03,2.053E+03,1.421E+02
F21,Best,3.000E+03,2.229E+03,2.502E+03,2.546E+03,2.209E+03
,Mean,2.839E+04,3.828E+03,7.174E+03,6.424E+03,2.407E+03
,Std,3.155E+04,1.440E+03,6.978E+03,2.927E+03,1.670E+02
F22,Best,2.561E+03,3.048E+03,2.448E+03,2.304E+03,2.238E+03
,Mean,1.545E+04,8.244E+03,5.917E+03,2.966E+03,2.306E+03
,Std,2.202E+04,5.380E+03,3.363E+03,6.700E+02,6.527E+01
F23,Best,2.440E+03,2.595E+03,3.456E+03,2.461E+03,2.386E+03
,Mean,6.125E+03,5.935E+03,1.393E+04,3.181E+03,2.626E+03
,Std,4.739E+03,3.250E+03,1.425E+04,7.829E+02,1.749E+02
F24,Best,3.012E+03,2.506E+03,2.558E+03,2.441E+03,2.506E+03
,Mean,4.083E+04,4.153E+03,3.665E+03,3.131E+03,2.786E+03
,Std,5.580E+04,3.250E+03,1.272E+03,5.771E+02,2.263E+02
F25,Best,2.612E+03,2.684E+03,2.657E+03,2.661E+03,2.545E+03
,Mean,1.774E+04,3.398E+03,4.420E+03,3.381E+03,2.636E+03
,Std,5.412E+04,8.387E+02,2.475E+03,8.063E+02,9.108E+01
F26,Best,3.195E+03,3.156E+03,3.144E+03,2.778E+03,2.672E+03
,Mean,6.158E+04,6.050E+03,1.652E+04,3.418E+03,2.804E+03
,Std,1.403E+05,3.576E+03,2.114E+04,4.778E+02,1.316E+02
F27,Best,2.919E+03,2.790E+03,2.854E+03,2.786E+03,2.834E+03
,Mean,6.713E+03,4.265E+03,5.885E+03,3.502E+03,3.060E+03
,Std,4.255E+03,1.590E+03,3.492E+03,7.413E+02,1.626E+02
F28,Best,2.938E+03,3.023E+03,2.981E+03,2.847E+03,2.810E+03
,Mean,5.608E+03,4.238E+03,4.775E+03,3.528E+03,2.833E+03
,Std,2.863E+03,1.437E+03,2.082E+03,1.204E+03,1.492E+01
F29,Best,3.017E+03,3.232E+03,4.126E+03,2.996E+03,2.979E+03
,Mean,6.046E+03,5.435E+03,1.588E+04,3.447E+03,3.083E+03
,Std,9.632E+03,2.315E+03,1.310E+04,4.369E+02,9.543E+01
F30,Best,4.198E+03,3.886E+03,7.881E+03,3.888E+03,3.120E+03
,Mean,3.587E+04,9.580E+03,4.309E+04,9.162E+03,3.510E+03
,Std,4.674E+04,6.125E+03,3.863E+04,6.769E+03,2.086E+02
