Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
F10,Best,1.003E+03,1.395E+03,1.232E+03,1.033E+03,1.196E+03,1.047E+03,1.005E+03,1.018E+03,1.012E+03,1.060E+03,1.011E+03
,Mean,1.006E+03,1.386E+04,4.228E+03,1.412E+03,2.001E+04,2.095E+03,1.060E+03,1.088E+03,1.125E+03,1.619E+03,1.085E+03
,Std,2.547E+00,2.393E+04,3.480E+03,3.267E+02,3.549E+04,1.199E+03,5.749E+01,5.300E+01,8.620E+01,5.607E+02,6.194E+01
,Rank,1,10,9,6,11,8,2,4,5,7,3
F11,Best,1.242E+03,1.692E+03,3.750E+03,1.384E+03,1.015E+04,1.977E+03,1.172E+03,1.257E+03,2.297E+03,1.947E+03,1.500E+03
,Mean,1.497E+03,3.220E+04,8.584E+04,4.837E+03,3.933E+05,1.192E+04,1.768E+03,2.289E+03,2.211E+04,7.670E+03,3.592E+03
,Std,1.429E+02,5.848E+04,1.606E+05,3.327E+03,7.153E+05,1.163E+04,6.768E+02,9.355E+02,3.191E+04,9.219E+03,1.910E+03
,Rank,1,9,10,5,11,7,2,3,8,6,4
F12,Best,1.417E+03,2.399E+03,9.658E+03,1.857E+03,1.142E+04,1.728E+03,3.155E+03,1.513E+03,2.225E+03,1.461E+03,1.707E+03
,Mean,1.770E+03,2.170E+05,2.380E+05,1.257E+04,1.609E+05,5.853E+03,1.208E+04,3.442E+03,1.508E+04,5.564E+03,2.976E+03
,Std,1.925E+02,3.127E+05,4.990E+05,1.133E+04,1.527E+05,6.059E+03,1.127E+04,1.608E+03,1.500E+04,6.123E+03,1.455E+03
,Rank,1,10,11,7,9,5,6,3,8,4,2
F13,Best,1.327E+03,1.561E+03,2.260E+03,1.324E+03,1.706E+04,1.315E+03,1.410E+03,1.325E+03,1.503E+03,1.385E+03,1.593E+03
,Mean,1.360E+03,1.209E+04,7.346E+04,1.927E+03,4.047E+05,2.213E+03,2.138E+03,1.487E+03,3.849E+03,3.223E+03,2.237E+03
,Std,2.292E+01,1.704E+04,1.129E+05,1.098E+03,5.836E+05,6.857E+02,1.225E+03,1.522E+02,2.210E+03,1.932E+03,6.129E+02
,Rank,1,9,10,3,11,5,4,2,8,7,6
F14,Best,1.451E+03,3.215E+03,2.426E+03,1.712E+03,3.273E+04,2.444E+03,1.548E+03,2.076E+03,2.066E+03,1.689E+03,1.624E+03
,Mean,1.516E+03,6.374E+04,5.309E+04,7.210E+03,5.910E+05,2.133E+04,2.561E+03,4.848E+03,1.811E+04,3.777E+03,2.287E+03
,Std,3.862E+01,1.293E+05,6.741E+04,9.879E+03,7.380E+05,4.049E+04,1.086E+03,2.589E+03,1.592E+04,1.986E+03,5.255E+02
,Rank,1,10,9,6,11,8,3,5,7,4,2
F15,Best,2.034E+03,1.899E+03,6.437E+03,1.597E+03,4.058E+03,1.727E+03,1.642E+03,1.677E+03,2.122E+03,1.707E+03,1.557E+03
,Mean,2.543E+03,3.263E+04,9.545E+04,5.834E+03,3.269E+05,9.868E+03,2.804E+03,3.297E+03,8.797E+03,6.964E+03,1.722E+03
,Std,3.751E+02,5.439E+04,1.181E+05,6.743E+03,4.691E+05,8.610E+03,1.576E+03,1.935E+03,1.158E+04,5.874E+03,2.188E+02
,Rank,2,9,10,5,11,8,3,4,7,6,1
F16,Best,1.748E+03,2.847E+03,3.677E+03,1.736E+03,5.435E+03,1.655E+03,1.686E+03,1.877E+03,1.704E+03,1.791E+03,1.746E+03
,Mean,2.014E+03,5.208E+04,6.810E+04,8.406E+03,1.552E+05,2.373E+03,2.749E+03,3.761E+03,2.919E+03,3.208E+03,2.616E+03
,Std,1.491E+02,6.207E+04,1.462E+05,1.003E+04,2.607E+05,7.304E+02,1.088E+03,1.516E+03,1.397E+03,2.063E+03,6.743E+02
,Rank,1,9,10,8,11,2,4,7,5,6,3
F17,Best,1.911E+03,1.830E+04,2.821E+04,3.761E+03,1.545E+05,2.576E+03,2.035E+03,2.440E+03,2.951E+03,2.729E+03,2.027E+03
,Mean,2.250E+03,7.186E+05,1.123E+06,4.142E+04,1.838E+06,1.129E+04,4.212E+03,1.101E+04,1.585E+04,1.294E+04,3.426E+03
,Std,2.304E+02,8.540E+05,1.195E+06,4.289E+04,2.090E+06,8.890E+03,2.109E+03,7.187E+03,1.661E+04,9.730E+03,1.344E+03
,Rank,1,9,10,8,11,5,3,4,7,6,2
F18,Best,2.879E+03,2.106E+03,5.215E+03,3.302E+03,2.351E+04,2.669E+03,2.180E+03,2.061E+03,4.039E+03,2.233E+03,2.601E+03
,Mean,4.169E+03,1.164E+04,1.031E+05,1.235E+04,7.370E+05,1.290E+04,4.904E+03,4.220E+03,2.350E+04,7.790E+03,5.263E+03
,Std,9.080E+02,1.287E+04,1.171E+05,1.089E+04,9.333E+05,1.637E+04,3.688E+03,3.945E+03,2.396E+04,4.645E+03,2.410E+03
,Rank,1,6,10,7,11,8,3,2,9,5,4
F19,Best,2.172E+03,7.397E+03,3.177E+03,2.208E+03,3.775E+04,2.364E+03,2.051E+03,2.131E+03,4.244E+03,1.937E+03,2.131E+03
,Mean,2.540E+03,1.079E+05,2.246E+04,8.488E+03,3.521E+05,9.682E+03,2.698E+03,3.530E+03,4.549E+04,2.761E+03,2.756E+03
,Std,2.432E+02,1.967E+05,2.124E+04,8.053E+03,4.712E+05,9.742E+03,6.237E+02,1.663E+03,4.125E+04,6.643E+02,5.701E+02
,Rank,1,10,8,6,11,7,2,5,9,4,3
F20,Best,2.045E+03,2.388E+03,1.475E+04,3.991E+03,6.823E+03,4.886E+03,2.255E+03,2.492E+03,2.621E+03,2.297E+03,2.613E+03
,Mean,2.121E+03,1.711E+05,1.545E+05,2.904E+04,2.302E+05,2.715E+04,3.619E+03,8.841E+03,9.247E+03,8.294E+03,4.864E+03
,Std,4.384E+01,2.083E+05,2.167E+05,2.399E+04,3.926E+05,3.686E+04,1.786E+03,5.518E+03,8.859E+03,8.000E+03,1.791E+03
,Rank,1,10,9,8,11,7,2,5,6,4,3
F21,Best,2.145E+03,2.329E+03,2.149E+03,3.218E+03,3.498E+03,2.508E+03,2.147E+03,2.129E+03,2.181E+03,2.278E+03,2.213E+03
,Mean,2.217E+03,1.330E+04,1.552E+04,1.240E+04,6.650E+04,8.335E+03,2.549E+03,2.331E+03,4.908E+03,3.337E+03,2.862E+03
,Std,4.732E+01,1.499E+04,2.289E+04,1.303E+04,1.173E+05,6.663E+03,3.575E+02,1.460E+02,4.385E+03,1.083E+03,6.504E+02
,Rank,1,9,10,8,11,7,3,2,6,5,4
F22,Best,2.216E+03,3.298E+03,2.634E+03,2.218E+03,2.571E+03,2.256E+03,2.205E+03,2.210E+03,2.335E+03,2.282E+03,2.283E+03
,Mean,2.240E+03,2.024E+04,9.975E+03,2.914E+03,1.185E+04,3.883E+03,2.284E+03,2.245E+03,3.400E+03,2.678E+03,2.404E+03
,Std,1.841E+01,2.265E+04,8.655E+03,6.689E+02,1.164E+04,2.360E+03,9.729E+01,4.094E+01,1.119E+03,4.010E+02,1.362E+02
,Rank,1,11,9,6,10,8,3,2,7,5,4
F23,Best,2.341E+03,3.066E+03,3.049E+03,2.498E+03,5.280E+03,2.506E+03,2.435E+03,2.524E+03,2.926E+03,2.508E+03,2.360E+03
,Mean,2.416E+03,1.639E+04,4.706E+04,4.954E+03,1.224E+05,5.176E+03,3.158E+03,3.149E+03,1.788E+04,4.132E+03,2.650E+03
,Std,3.936E+01,1.518E+04,6.558E+04,2.892E+03,1.650E+05,3.254E+03,1.014E+03,6.753E+02,1.979E+04,1.653E+03,3.044E+02
,Rank,1,8,10,6,11,7,4,3,9,5,2
F24,Best,2.418E+03,2.440E+03,2.965E+03,2.480E+03,9.487E+03,2.510E+03,2.449E+03,2.408E+03,2.440E+03,2.500E+03,2.531E+03
,Mean,2.444E+03,7.054E+03,1.790E+04,3.668E+03,1.131E+05,4.784E+03,3.043E+03,2.476E+03,2.894E+03,3.262E+03,3.285E+03
,Std,1.578E+01,7.963E+03,2.746E+04,1.566E+03,1.147E+05,2.467E+03,8.157E+02,6.131E+01,5.484E+02,8.743E+02,6.895E+02
,Rank,1,9,10,7,11,8,4,2,3,5,6
F25,Best,2.513E+03,2.521E+03,2.617E+03,2.514E+03,4.746E+03,2.520E+03,2.518E+03,2.517E+03,2.595E+03,2.604E+03,2.527E+03
,Mean,2.526E+03,6.183E+03,7.150E+03,2.810E+03,2.457E+04,2.855E+03,2.771E+03,2.591E+03,2.980E+03,3.267E+03,2.591E+03
,Std,8.720E+00,3.821E+03,5.552E+03,3.278E+02,2.522E+04,4.370E+02,4.760E+02,7.952E+01,6.060E+02,1.027E+03,7.531E+01
,Rank,1,9,10,5,11,6,4,3,7,8,2
F26,Best,2.691E+03,2.938E+03,2.954E+03,2.699E+03,5.871E+03,2.750E+03,2.743E+03,2.617E+03,2.671E+03,2.716E+03,2.673E+03
,Mean,2.776E+03,8.194E+03,1.090E+04,3.235E+03,1.155E+05,6.298E+03,3.342E+03,2.778E+03,3.137E+03,4.000E+03,2.849E+03
,Std,6.933E+01,6.869E+03,1.348E+04,6.092E+02,1.229E+05,5.321E+03,5.963E+02,1.152E+02,4.494E+02,1.847E+03,1.232E+02
,Rank,1,9,10,5,11,8,6,2,4,7,3
F27,Best,2.712E+03,2.742E+03,2.770E+03,2.763E+03,5.809E+03,2.814E+03,2.714E+03,2.711E+03,3.431E+03,2.782E+03,2.739E+03
,Mean,2.728E+03,4.929E+03,4.429E+03,3.768E+03,1.323E+05,4.512E+03,2.851E+03,2.777E+03,6.957E+03,3.472E+03,2.866E+03
,Std,1.229E+01,2.953E+03,1.925E+03,1.222E+03,2.515E+05,2.984E+03,2.187E+02,6.933E+01,3.885E+03,7.499E+02,1.092E+02
,Rank,1,9,7,6,11,8,3,2,10,5,4
F28,Best,2.817E+03,2.997E+03,3.899E+03,2.832E+03,6.814E+03,3.012E+03,2.857E+03,2.818E+03,3.404E+03,2.925E+03,2.896E+03
,Mean,2.833E+03,1.328E+04,3.584E+04,3.183E+03,1.867E+05,5.694E+03,3.330E+03,2.922E+03,9.254E+03,3.890E+03,3.240E+03
,Std,1.102E+01,1.636E+04,4.707E+04,4.817E+02,1.983E+05,3.261E+03,5.722E+02,8.202E+01,9.166E+03,1.070E+03,2.495E+02
,Rank,1,9,10,3,11,7,5,2,8,6,4
F29,Best,2.918E+03,3.406E+03,3.428E+03,3.108E+03,4.855E+03,3.012E+03,2.931E+03,2.968E+03,2.991E+03,2.928E+03,2.935E+03
,Mean,2.937E+03,1.282E+04,1.013E+04,5.377E+03,1.494E+05,3.649E+03,3.017E+03,3.398E+03,3.919E+03,3.229E+03,3.041E+03
,Std,1.465E+01,1.494E+04,6.730E+03,2.764E+03,1.622E+05,5.064E+02,8.956E+01,5.042E+02,1.320E+03,3.318E+02,8.102E+01
,Rank,1,10,9,8,11,6,2,5,7,4,3
F30,Best,3.065E+03,3.105E+03,3.060E+03,3.677E+03,4.919E+03,3.204E+03,3.026E+03,3.036E+03,3.138E+03,3.088E+03,3.052E+03
,Mean,3.145E+03,1.926E+04,1.194E+04,1.088E+04,5.506E+04,6.073E+03,3.318E+03,3.261E+03,4.397E+03,4.126E+03,3.364E+03
,Std,5.116E+01,3.064E+04,1.146E+04,1.083E+04,7.552E+04,5.250E+03,4.679E+02,2.173E+02,1.100E+03,7.870E+02,2.318E+02
,Rank,1,10,9,8,11,7,3,2,6,5,4
