Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
,Mean,2.065E+05,4.938E+06,1.897E+07,4.092E+06,9.514E+07,1.358E+06,1.397E+05,4.567E+04,4.880E+05,1.938E+05,8.572E+04
,Std,7.089E+04,5.785E+06,3.379E+07,4.429E+06,1.353E+08,1.998E+06,1.391E+05,4.793E+04,5.657E+05,2.038E+05,6.344E+04
,Rank,5,9,10,8,11,7,3,1,6,4,2
F28,Best,6.835E+05,1.088E+06,7.844E+05,1.691E+05,5.678E+06,5.314E+05,2.717E+04,5.572E+04,2.244E+04,1.738E+05,1.943E+05
,Mean,1.235E+06,3.083E+07,3.547E+07,4.588E+06,4.459E+08,6.542E+06,9.477E+05,3.269E+05,9.311E+05,4.798E+06,1.369E+06
,Std,4.764E+05,2.760E+07,7.563E+07,5.281E+06,6.462E+08,5.414E+06,8.248E+05,2.101E+05,1.084E+06,6.826E+06,1.025E+06
,Rank,4,9,10,6,11,8,3,1,2,7,5
F29,Best,6.351E+04,9.415E+04,2.923E+05,7.486E+04,2.419E+06,1.121E+05,2.325E+04,9.153E+03,3.058E+05,1.517E+05,4.215E+04
,Mean,1.775E+05,9.199E+06,8.961E+06,7.868E+05,9.431E+07,1.993E+06,2.191E+05,4.234E+04,3.171E+06,9.176E+05,1.669E+05
,Std,7.041E+04,1.555E+07,1.044E+07,1.183E+06,1.085E+08,2.158E+06,1.359E+05,3.529E+04,4.316E+06,1.036E+06,9.498E+04
,Rank,3,10,9,5,11,7,4,1,8,6,2
F30,Best,1.636E+05,2.636E+05,1.398E+06,8.778E+04,8.142E+05,9.665E+04,2.208E+04,2.403E+04,1.845E+05,1.577E+05,8.651E+04
,Mean,3.761E+05,1.235E+07,2.700E+07,8.088E+05,1.171E+07,2.944E+06,1.179E+05,1.361E+05,8.140E+05,1.781E+06,4.023E+05
,Std,1.389E+05,1.620E+07,4.203E+07,5.808E+05,1.335E+07,4.590E+06,9.999E+04,8.918E+04,4.808E+05,2.130E+06,3.183E+05
,Rank,3,10,11,5,9,8,1,2,6,7,4
