Func,Index,SBOA,SBOA-GPSI,SBOA-LOBL,SBOA-ACGM,MSSBOA
F21,Best,6.972E+03,4.208E+03,2.556E+03,3.021E+03,2.281E+03
,Mean,1.270E+05,1.526E+04,8.519E+03,5.572E+03,2.738E+03
,Std,1.822E+05,1.266E+04,5.428E+03,2.608E+03,4.133E+02
F22,Best,3.379E+03,5.797E+03,3.944E+03,3.246E+03,2.863E+03
,Mean,6.624E+04,2.962E+04,5.021E+04,7.980E+03,3.853E+03
,Std,1.250E+05,1.901E+04,6.229E+04,6.722E+03,4.937E+02
F23,Best,2.449E+04,4.162E+03,8.061E+03,6.042E+03,4.973E+03
,Mean,3.488E+05,2.184E+04,6.697E+04,3.071E+04,1.292E+04
,Std,4.594E+05,1.946E+04,1.652E+05,2.592E+04,5.074E+03
F24,Best,4.775E+03,4.111E+03,8.453E+03,7.658E+03,3.264E+03
,Mean,7.584E+04,1.747E+04,1.738E+05,2.562E+04,5.346E+03
,Std,1.059E+05,1.909E+04,2.022E+05,2.508E+04,1.519E+03
F25,Best,4.241E+03,2.868E+03,4.457E+03,5.184E+03,4.750E+03
,Mean,3.289E+05,1.164E+04,4.477E+04,1.261E+04,9.648E+03
,Std,5.267E+05,1.081E+04,5.356E+04,8.293E+03,2.583E+03
F26,Best,1.641E+04,3.914E+03,9.133E+03,3.785E+03,2.922E+03
,Mean,1.776E+05,1.479E+04,1.638E+05,2.114E+04,3.943E+03
,Std,2.632E+05,1.385E+04,2.128E+05,1.520E+04,8.389E+02
F27,Best,7.204E+03,4.858E+03,3.874E+03,3.456E+03,3.794E+03
,Mean,1.607E+05,1.154E+04,1.743E+04,8.203E+03,7.277E+03
,Std,2.144E+05,7.771E+03,1.829E+04,3.554E+03,2.348E+03
F28,Best,4.598E+03,5.774E+03,1.192E+04,4.999E+03,4.366E+03
,Mean,1.587E+05,5.103E+04,1.075E+05,2.037E+04,9.008E+03
,Std,3.629E+05,4.234E+04,1.450E+05,1.454E+04,4.489E+03
F29,Best,8.710E+03,4.980E+03,1.370E+04,6.009E+03,4.628E+03
,Mean,2.241E+05,1.730E+04,7.763E+04,1.802E+04,7.295E+03
,Std,2.951E+05,1.330E+04,7.253E+04,9.484E+03,1.712E+03
F30,Best,6.047E+03,7.758E+03,4.705E+03,5.200E+03,3.635E+03
,Mean,4.706E+04,3.791E+04,3.314E+04,1.527E+04,4.440E+03
,Std,6.451E+04,2.836E+04,3.213E+04,8.197E+03,5.551E+02
