pid,occupation,exposure,female,age,master,stem,tier1,months_grad,employed,parent_edu,internship,income,retained,phcd1,phcd2,phcd3,phcd4,anx1,anx2,anx3,anx4,lit1,lit2,lit3,lit4,sup1,sup2,sup3,sup4,adp1,adp2,adp3,adp4,avd1,avd2,avd3,mkr1,mkr2,mkr3,reskill_hours
49,Design and creative services,0.66,0,24,0,1,1,29,0,0,0,0.0,1,3,5,3,3,6,3,5,4,3,3,3,3,4,5,3,6,4.0,4.0,4.0,5.0,5.0,7.0,5.0,3,6,5,6.0
50,Sales,0.48,1,24,0,0,0,6,1,1,1,6600.0,1,6,5,4,6,4,2,3,3,3,1,4,4,4,4,4,5,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5,5,3,16.0
51,Construction site management,0.22,0,28,1,1,1,22,1,0,1,3400.0,1,1,1,1,2,1,1,2,1,3,3,2,2,5,3,5,4,1.0,2.0,3.0,3.0,3.0,3.0,2.0,6,4,5,9.0
52,Software and IT services,0.86,0,24,0,1,0,6,0,0,1,0.0,0,3,2,2,4,4,2,4,3,5,7,6,5,6,6,6,4,,,,,,,,5,2,5,
53,Education and training,0.55,0,24,0,0,1,17,1,1,1,6900.0,0,1,1,3,4,4,4,4,6,2,4,4,2,5,2,3,3,,,,,,,,5,4,2,
54,Design and creative services,0.66,0,25,0,1,1,12,1,1,1,5100.0,1,4,3,4,5,4,3,3,4,5,5,5,5,6,6,4,5,6.0,5.0,5.0,4.0,2.0,2.0,4.0,4,5,3,124.0
55,Manufacturing operations,0.3,0,21,0,0,0,5,1,0,0,8900.0,1,2,2,1,2,5,4,5,5,5,5,3,5,2,5,4,4,6.0,5.0,6.0,4.0,3.0,4.0,3.0,1,5,2,49.0
56,Human resources,0.62,1,24,0,0,1,10,1,1,0,9100.0,1,5,7,6,5,4,1,3,3,1,2,3,3,6,5,7,7,4.0,6.0,2.0,6.0,2.0,3.0,3.0,2,5,3,37.0
57,Sales,0.48,1,21,0,1,0,15,1,0,1,7100.0,1,3,4,4,5,6,4,6,4,5,6,4,5,4,2,5,4,6.0,5.0,5.0,6.0,3.0,5.0,5.0,3,3,3,32.0
58,Research and development,0.58,0,23,0,1,1,10,1,1,1,4600.0,0,3,4,3,4,2,5,5,2,3,3,3,3,4,2,3,3,,,,,,,,3,4,3,
59,Human resources,0.62,0,23,0,0,1,17,1,1,1,4500.0,1,2,2,3,3,5,4,5,5,2,4,4,3,5,5,5,5,6.0,5.0,5.0,4.0,3.0,1.0,4.0,4,3,5,38.0
60,Administrative and clerical,0.74,0,21,0,0,0,17,0,0,0,0.0,1,4,5,3,4,2,4,3,4,5,3,4,6,3,4,3,6,2.0,1.0,4.0,4.0,3.0,2.0,3.0,3,4,3,9.0
61,Customer service and operations,0.64,1,26,1,1,0,29,1,0,1,9200.0,1,4,6,4,4,3,2,3,4,4,3,4,4,3,3,5,5,2.0,2.0,2.0,4.0,3.0,4.0,4.0,6,4,7,17.0
62,Administrative and clerical,0.74,1,26,1,0,0,34,1,0,1,9600.0,1,4,5,5,4,4,3,4,2,5,4,2,3,3,2,6,4,4.0,3.0,3.0,3.0,7.0,6.0,6.0,2,4,4,10.0
63,Construction site management,0.22,0,24,0,1,0,4,0,0,0,0.0,1,4,3,4,3,7,7,7,7,4,3,4,4,1,2,2,1,1.0,1.0,2.0,1.0,7.0,6.0,7.0,3,2,2,5.0
64,Marketing and e-commerce,0.6,1,24,0,0,0,21,1,1,1,7500.0,1,5,4,6,5,5,6,6,5,4,4,4,4,4,6,6,5,3.0,5.0,4.0,4.0,5.0,6.0,5.0,3,4,1,18.0
65,Administrative and clerical,0.74,1,24,1,1,1,5,1,1,0,5600.0,1,3,5,3,3,5,4,5,6,7,7,6,6,6,4,4,4,5.0,7.0,4.0,4.0,3.0,3.0,3.0,5,5,6,17.0
66,"Content, media and communication",0.76,1,23,0,0,0,4,1,0,0,5600.0,1,5,5,4,4,6,4,4,5,6,5,3,5,6,3,5,2,6.0,6.0,5.0,6.0,4.0,4.0,4.0,6,5,2,52.0
67,Manufacturing operations,0.3,0,24,0,0,0,22,0,0,1,0.0,1,6,5,4,5,2,3,3,4,1,1,1,3,3,4,5,4,5.0,4.0,5.0,4.0,4.0,2.0,3.0,3,3,3,22.0
68,Construction site management,0.22,0,21,0,1,1,34,1,0,0,14100.0,1,2,1,2,1,2,1,1,2,2,3,4,3,4,3,2,4,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3,4,3,15.0
69,"Banking, securities and finance",0.71,0,22,0,0,0,8,1,0,0,4000.0,1,5,5,5,6,7,5,6,6,3,2,3,1,1,2,3,1,3.0,1.0,3.0,3.0,6.0,6.0,5.0,4,5,5,6.0
70,Manufacturing operations,0.3,1,25,0,1,0,32,1,0,1,3700.0,0,5,6,4,4,4,2,2,3,3,5,4,4,5,4,3,3,,,,,,,,4,4,3,
71,Manufacturing operations,0.3,0,26,1,0,1,17,1,0,1,5000.0,0,4,4,4,4,2,1,1,2,3,3,2,4,5,7,5,5,,,,,,,,3,3,2,
72,Marketing and e-commerce,0.6,1,24,0,0,0,27,0,0,0,0.0,1,3,2,3,2,4,4,5,4,4,4,4,4,4,5,4,4,5.0,2.0,4.0,4.0,6.0,4.0,4.0,4,4,4,7.0
73,Mechanical and civil engineering,0.42,1,25,0,1,1,32,0,0,1,0.0,1,4,4,2,2,4,1,3,4,3,4,4,4,5,2,4,3,4.0,4.0,6.0,6.0,2.0,3.0,3.0,4,2,1,11.0
74,Software and IT services,0.86,0,22,0,0,1,32,1,0,1,4100.0,0,5,3,4,4,5,5,4,5,5,5,5,6,4,5,3,4,,,,,,,,6,4,5,
75,Logistics and supply chain,0.33,1,25,0,1,0,24,1,1,1,3700.0,0,1,2,3,3,2,2,4,2,4,4,3,3,4,3,3,5,,,,,,,,3,2,2,
76,Sales,0.48,0,22,0,0,0,15,0,0,1,0.0,0,5,7,5,6,5,4,2,4,1,1,2,1,3,3,4,2,,,,,,,,6,6,6,
77,Accounting and audit,0.82,1,23,0,0,0,26,0,0,1,0.0,0,6,4,3,4,6,5,4,6,4,4,1,4,4,6,5,5,,,,,,,,3,5,6,
78,Public sector and institutions,0.5,1,21,0,0,1,26,0,0,1,0.0,1,2,1,2,3,4,5,5,4,6,4,5,5,6,7,5,6,4.0,4.0,4.0,5.0,1.0,4.0,2.0,7,6,5,58.0
79,Customer service and operations,0.64,0,25,1,1,0,3,0,0,1,0.0,1,5,5,5,6,5,5,5,5,5,3,4,4,5,4,4,5,3.0,5.0,6.0,3.0,5.0,4.0,5.0,4,5,2,37.0
80,Marketing and e-commerce,0.6,0,24,0,1,0,12,1,0,1,5800.0,1,2,3,4,2,5,4,4,3,4,4,5,4,3,4,4,4,3.0,3.0,3.0,2.0,3.0,5.0,6.0,3,4,3,20.0
81,Hospitality and retail,0.25,0,23,0,0,0,17,1,0,0,8300.0,1,4,3,2,3,4,4,4,5,2,3,3,3,4,4,3,4,3.0,2.0,3.0,2.0,6.0,4.0,7.0,5,5,5,8.0
82,Public sector and institutions,0.5,0,24,0,0,0,22,1,0,1,11300.0,1,5,4,4,6,3,3,3,2,4,5,5,3,5,2,3,3,4.0,4.0,4.0,6.0,4.0,5.0,6.0,4,4,5,26.0
83,"Content, media and communication",0.76,0,24,0,0,0,7,0,1,0,0.0,1,4,5,3,2,4,5,4,4,4,5,4,5,5,2,5,3,4.0,2.0,3.0,4.0,6.0,5.0,4.0,3,3,2,14.0
84,Software and IT services,0.86,0,21,0,0,1,15,1,0,1,4700.0,1,5,6,6,5,7,6,7,6,2,3,2,4,4,5,4,4,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5,7,5,8.0
85,Customer service and operations,0.64,0,25,0,0,0,8,1,0,1,6600.0,0,7,5,6,5,4,4,2,4,1,2,3,2,5,4,4,5,,,,,,,,4,5,5,
86,Human resources,0.62,0,23,0,0,0,15,1,0,1,9400.0,0,3,4,5,6,3,6,4,3,3,3,1,3,6,5,6,5,,,,,,,,7,7,7,
87,Legal services,0.68,1,24,0,0,0,32,1,0,1,5400.0,1,4,2,2,3,5,5,4,5,4,3,2,3,6,6,5,6,4.0,3.0,5.0,3.0,2.0,4.0,2.0,4,4,5,11.0
88,Education and training,0.55,1,24,0,0,0,36,0,1,0,0.0,0,5,5,4,4,4,3,3,3,3,4,3,5,4,4,3,4,,,,,,,,4,3,3,
89,Research and development,0.58,0,22,0,0,1,34,1,0,1,4500.0,1,2,3,4,4,1,3,4,1,2,3,4,4,3,4,5,5,2.0,3.0,4.0,4.0,3.0,3.0,3.0,6,5,6,29.0
90,Construction site management,0.22,1,23,0,0,0,21,1,1,1,3900.0,1,2,3,3,4,5,4,3,3,5,5,5,4,4,3,2,5,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5,6,7,14.0
91,Customer service and operations,0.64,0,25,0,0,1,35,1,0,0,4300.0,1,4,5,4,5,4,3,3,1,5,4,3,3,4,4,4,1,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4,5,5,28.0
92,Customer service and operations,0.64,1,24,0,1,1,33,0,0,1,0.0,1,7,4,6,5,4,7,5,5,4,4,5,5,5,6,3,5,5.0,6.0,5.0,4.0,3.0,4.0,3.0,1,3,2,22.0
93,Administrative and clerical,0.74,1,23,0,1,0,29,1,0,1,5300.0,0,7,7,6,7,7,7,4,7,1,1,1,2,3,3,4,2,,,,,,,,6,5,5,
94,"Content, media and communication",0.76,0,22,0,0,0,5,1,0,0,7100.0,0,4,5,5,5,4,3,3,2,3,4,3,4,5,5,5,6,,,,,,,,4,4,4,
95,Customer service and operations,0.64,0,25,0,1,0,9,1,0,1,4600.0,1,2,6,5,4,2,2,3,2,1,1,3,1,2,4,3,3,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3,1,5,13.0
96,"Content, media and communication",0.76,1,22,0,0,0,13,0,0,1,0.0,1,5,6,5,5,6,6,5,4,6,4,3,4,4,3,2,4,3.0,1.0,1.0,2.0,3.0,3.0,4.0,3,2,2,10.0
97,Public sector and institutions,0.5,1,21,0,1,0,7,1,0,1,8100.0,1,5,5,3,5,3,4,4,4,5,5,7,4,5,5,6,5,5.0,7.0,6.0,4.0,2.0,3.0,2.0,4,5,4,66.0
98,Mechanical and civil engineering,0.42,0,23,0,0,0,26,1,0,0,4500.0,1,4,5,4,4,3,4,6,5,7,7,5,7,6,7,7,7,5.0,5.0,5.0,7.0,2.0,4.0,1.0,1,2,3,19.0
99,Construction site management,0.22,0,24,1,0,0,7,1,1,1,6900.0,1,2,1,2,1,2,1,1,1,1,1,1,1,5,6,4,3,3.0,5.0,4.0,3.0,3.0,4.0,2.0,3,2,3,21.0
100,Education and training,0.55,0,25,0,0,1,24,1,0,1,4600.0,0,5,3,3,3,3,5,4,4,5,2,4,4,6,5,4,7,,,,,,,,5,4,4,
101,Education and training,0.55,1,21,0,0,1,7,1,0,1,8200.0,0,3,4,3,3,3,4,3,4,5,4,5,4,4,6,5,6,,,,,,,,4,7,5,
102,Education and training,0.55,1,25,0,1,0,19,0,0,0,0.0,1,3,4,4,6,2,2,2,1,4,6,2,3,7,7,6,7,3.0,3.0,2.0,4.0,2.0,2.0,5.0,4,5,3,14.0
103,Healthcare and nursing,0.35,0,24,0,0,1,19,1,0,1,8700.0,0,2,3,1,4,6,5,4,4,6,4,7,6,7,6,6,5,,,,,,,,4,7,6,
104,"Banking, securities and finance",0.71,0,25,0,0,1,15,1,0,0,4000.0,1,3,5,6,4,5,7,5,5,5,5,5,5,5,5,4,4,5.0,4.0,5.0,4.0,3.0,3.0,2.0,4,4,4,37.0
105,Software and IT services,0.86,1,25,0,1,0,31,0,0,0,0.0,1,5,6,7,4,7,6,5,7,4,4,5,5,4,4,4,5,5.0,7.0,6.0,4.0,5.0,4.0,5.0,4,2,1,24.0
106,Mechanical and civil engineering,0.42,0,22,0,0,0,19,1,0,0,9000.0,1,4,5,5,4,5,5,6,4,2,2,1,2,2,4,1,3,4.0,4.0,4.0,1.0,6.0,7.0,5.0,2,2,4,15.0
107,Healthcare and nursing,0.35,1,21,0,0,1,35,1,0,0,5600.0,1,2,3,6,5,5,4,5,4,5,6,3,5,6,7,6,5,4.0,5.0,5.0,5.0,5.0,3.0,5.0,6,6,4,11.0
108,Design and creative services,0.66,0,24,0,1,1,29,0,0,0,0.0,1,6,3,4,5,4,5,6,5,5,5,3,5,3,4,3,1,5.0,6.0,4.0,6.0,2.0,3.0,3.0,4,5,3,93.0
109,Construction site management,0.22,0,25,0,0,0,18,1,1,0,6500.0,1,4,1,1,2,3,4,2,2,4,5,4,4,1,2,1,3,4.0,5.0,5.0,5.0,2.0,3.0,2.0,4,3,4,25.0
110,Construction site management,0.22,0,21,0,0,0,3,1,0,0,5100.0,0,1,1,1,1,2,3,4,4,1,1,1,1,5,5,2,4,,,,,,,,3,4,3,
111,Construction site management,0.22,0,21,0,0,1,26,0,0,0,0.0,0,4,3,4,4,2,1,2,1,3,4,4,3,6,5,6,6,,,,,,,,4,5,4,
112,Human resources,0.62,0,25,0,1,1,15,1,0,1,9500.0,1,4,1,3,3,2,3,3,4,4,4,4,5,4,4,5,4,5.0,4.0,4.0,5.0,5.0,2.0,3.0,4,5,5,11.0
113,Software and IT services,0.86,1,24,0,0,0,29,0,0,1,0.0,1,7,6,7,7,4,6,7,6,3,2,3,2,2,4,4,3,5.0,5.0,2.0,4.0,7.0,5.0,7.0,4,6,5,19.0
114,Hospitality and retail,0.25,1,25,0,0,1,14,1,1,1,3600.0,1,3,2,1,2,3,2,4,2,5,4,3,4,4,4,2,5,5.0,5.0,4.0,5.0,5.0,4.0,4.0,6,6,4,17.0
115,Sales,0.48,1,21,0,0,1,6,1,0,0,5100.0,1,3,3,2,1,3,4,4,3,4,2,3,5,5,5,5,4,5.0,2.0,3.0,4.0,4.0,4.0,5.0,7,5,5,31.0
116,Sales,0.48,1,22,0,0,0,18,1,1,1,6200.0,0,5,4,5,5,4,4,4,4,3,6,5,4,3,4,4,4,,,,,,,,5,5,3,
117,Logistics and supply chain,0.33,1,23,0,1,1,10,1,0,1,4700.0,1,4,3,4,5,6,6,6,5,5,7,4,4,1,4,3,4,3.0,4.0,3.0,2.0,5.0,4.0,7.0,5,7,5,16.0
118,"Banking, securities and finance",0.71,0,24,0,0,0,21,1,0,0,7500.0,1,7,5,5,5,4,6,4,7,3,2,2,4,4,5,4,3,4.0,2.0,2.0,5.0,6.0,6.0,7.0,3,4,4,21.0
119,Sales,0.48,0,21,0,1,0,10,1,1,1,2600.0,0,2,4,3,3,5,4,3,2,3,4,2,3,3,5,6,5,,,,,,,,3,5,4,
120,Legal services,0.68,1,25,0,1,1,7,1,0,1,6700.0,1,4,5,4,6,6,4,4,3,4,4,5,5,5,6,5,4,6.0,6.0,6.0,6.0,2.0,3.0,5.0,2,2,1,74.0
121,Accounting and audit,0.82,0,25,0,1,0,10,1,1,1,5700.0,1,2,4,4,3,3,3,5,4,6,5,5,4,3,4,4,4,7.0,6.0,5.0,6.0,2.0,3.0,3.0,4,2,3,23.0
122,Administrative and clerical,0.74,1,21,0,0,0,17,1,0,1,3700.0,0,7,6,5,6,4,3,5,6,5,2,5,4,4,5,5,4,,,,,,,,5,6,4,
123,"Content, media and communication",0.76,0,25,1,1,0,5,1,0,1,5100.0,1,5,5,5,4,3,3,2,4,5,6,6,6,4,4,4,4,4.0,5.0,2.0,3.0,3.0,5.0,2.0,3,5,3,8.0
124,Accounting and audit,0.82,0,24,0,0,0,13,1,0,1,7100.0,1,3,4,5,3,3,3,3,4,3,2,3,2,5,4,3,5,1.0,1.0,3.0,2.0,3.0,5.0,3.0,4,4,6,15.0
125,Mechanical and civil engineering,0.42,0,25,0,0,0,6,1,0,1,4300.0,0,5,3,5,5,3,4,3,4,4,6,4,6,6,5,7,4,,,,,,,,3,5,3,
126,Customer service and operations,0.64,1,23,0,1,0,18,0,0,1,0.0,0,4,5,5,5,6,6,7,6,7,6,7,7,6,4,5,3,,,,,,,,7,6,4,
127,Sales,0.48,0,25,1,1,1,3,1,1,0,4900.0,0,2,2,2,2,2,2,2,2,5,5,4,3,4,4,4,5,,,,,,,,4,3,5,
128,Design and creative services,0.66,0,25,0,1,0,5,0,0,1,0.0,1,4,2,3,3,3,3,2,3,5,6,5,3,6,6,6,6,5.0,3.0,5.0,5.0,1.0,2.0,2.0,6,4,5,13.0
129,Manufacturing operations,0.3,0,24,0,0,0,12,0,0,1,0.0,1,5,4,5,4,2,3,3,4,3,4,3,3,2,2,3,2,4.0,4.0,4.0,5.0,4.0,6.0,4.0,4,3,4,10.0
130,Mechanical and civil engineering,0.42,1,24,1,0,1,10,0,0,1,0.0,1,4,4,5,3,4,2,5,5,3,2,4,4,6,6,4,5,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5,4,4,33.0
131,Sales,0.48,1,25,0,1,0,19,1,0,1,5900.0,1,5,5,5,4,3,5,5,3,6,4,5,6,3,5,4,4,3.0,3.0,5.0,5.0,6.0,5.0,6.0,4,5,4,37.0
132,Education and training,0.55,0,22,0,0,0,23,1,0,0,6700.0,0,7,7,6,6,4,5,5,5,4,3,3,4,5,7,6,6,,,,,,,,4,3,3,
133,Mechanical and civil engineering,0.42,1,26,1,0,0,15,1,1,1,9800.0,1,3,3,3,3,3,3,3,2,3,5,4,4,4,6,6,4,2.0,5.0,4.0,3.0,2.0,3.0,1.0,6,2,3,15.0
