participant_id,t_index,day,prompt_of_day,answered,deployed_family,negative affect,positive affect,arousal,stressor intensity,controllability appraisal,social presence,at home,time of day (sin),time of day (cos),day in protocol,regulatory effort,perceived regulation success,response latency,item: changed the situation,item: looked away or distracted,item: thought about it differently,item: kept it inside
1,15,3,3,0,Situation modification,1.8941,5.3203,4.9051,0.3844,0.7592,1.0000,1.0000,0.8660,-0.5000,0.1538,4.1802,5.0573,0.3229,5.4119,1.0000,2.2592,1.4936
1,16,3,4,0,Situation modification,1.0000,5.3939,4.3749,0.2247,0.7406,0.0000,0.0000,0.0000,-1.0000,0.1538,2.2390,5.7890,-0.5885,4.6401,1.0000,2.3187,1.0000
1,17,3,5,1,Cognitive change,1.7081,6.9838,4.2655,0.5559,0.7808,0.0000,0.0000,-0.8660,-0.5000,0.1538,3.4481,1.8300,1.0031,2.2455,1.0000,3.9550,2.9165
1,18,3,6,1,Situation modification,2.6300,5.3738,4.6156,0.4816,0.3789,0.0000,1.0000,-0.8660,0.5000,0.1538,3.0161,4.3291,-0.2747,6.1677,3.2427,1.4460,2.4572
1,19,4,1,1,Cognitive change,1.7626,5.5012,4.0057,0.1768,0.1718,1.0000,1.0000,0.0000,1.0000,0.2308,3.2156,3.9227,0.5321,1.0693,1.5120,5.7922,1.0000
1,20,4,2,1,Situation selection,2.6400,5.6927,3.5283,0.3030,0.2218,0.0000,0.0000,0.8660,0.5000,0.2308,3.8933,2.7771,0.0322,3.8729,3.4496,2.9205,2.9128
1,21,4,3,1,Situation modification,2.6646,5.7400,3.2281,0.1697,0.4584,0.0000,1.0000,0.8660,-0.5000,0.2308,3.0189,2.4536,0.9524,4.0459,2.7535,1.0000,2.7412
1,22,4,4,1,Cognitive change,1.6845,6.0208,3.7238,0.7318,0.3318,0.0000,1.0000,0.0000,-1.0000,0.2308,3.5023,5.1608,-0.0327,2.1495,1.0000,6.6211,1.0000
1,23,4,5,1,Situation modification,1.9889,5.3352,4.4855,0.3585,0.5370,0.0000,0.0000,-0.8660,-0.5000,0.2308,2.2368,3.6849,0.2087,7.0000,1.7376,3.4994,1.0000
1,24,4,6,1,Situation modification,2.1859,4.4127,4.3612,0.3917,0.8052,1.0000,1.0000,-0.8660,0.5000,0.2308,2.3373,5.2318,0.1107,5.9213,1.4001,1.0000,1.0000
1,25,5,1,0,Attentional deployment,1.9743,4.5547,4.1976,0.1592,0.4408,1.0000,0.0000,0.0000,1.0000,0.3077,2.4558,3.7721,0.3599,1.1447,3.6138,1.6539,1.0000
1,26,5,2,1,Situation selection,1.0244,6.3760,3.3905,0.1933,0.6403,1.0000,1.0000,0.8660,0.5000,0.3077,2.3367,4.3756,0.2544,7.0000,3.4023,1.3450,2.6815
1,27,5,3,0,Situation selection,1.0000,6.4388,3.2207,0.0129,0.6978,0.0000,0.0000,0.8660,-0.5000,0.3077,3.1132,2.2321,0.0263,3.5518,3.2284,1.4554,3.0078
1,28,5,4,1,Situation selection,2.5134,5.5915,3.7143,0.1646,0.3817,1.0000,1.0000,0.0000,-1.0000,0.3077,3.1007,2.2550,0.5905,3.0387,3.8982,1.5564,2.1606
1,29,5,5,1,Cognitive change,3.4762,4.0852,5.3965,0.6230,0.5979,1.0000,1.0000,-0.8660,-0.5000,0.3077,3.3596,5.5524,-0.2854,1.6653,2.0510,5.8708,1.5992
1,30,5,6,0,Situation modification,3.1176,3.3224,6.3030,1.0000,0.8234,1.0000,1.0000,-0.8660,0.5000,0.3077,4.9101,4.8749,0.3191,5.4474,1.0000,2.0874,1.3201
1,31,6,1,0,Situation modification,2.9024,4.7430,4.2498,0.2587,0.1067,1.0000,1.0000,0.0000,1.0000,0.3846,2.4596,1.6576,0.2897,5.7010,1.0000,3.9597,1.3452
1,32,6,2,1,Cognitive change,2.8255,3.7155,4.1498,0.4939,0.5509,0.0000,1.0000,0.8660,0.5000,0.3846,3.2992,4.8470,0.3124,1.0000,1.0000,5.3226,1.1588
1,33,6,3,1,Situation selection,1.9224,5.4242,3.8340,0.2867,0.5367,1.0000,0.0000,0.8660,-0.5000,0.3846,3.3875,5.0519,0.1197,5.5189,4.1802,1.1338,2.0806
1,34,6,4,1,Attentional deployment,2.8088,5.3700,4.5843,0.5775,0.3818,1.0000,0.0000,0.0000,-1.0000,0.3846,3.6872,1.2862,-0.0196,2.2891,6.5488,2.8993,1.0000
1,35,6,5,1,Cognitive change,3.5584,4.4425,5.4746,0.8510,0.0355,1.0000,0.0000,-0.8660,-0.5000,0.3846,4.7208,2.9072,0.4876,1.0000,2.3771,7.0000,1.0000
1,36,6,6,0,Situation modification,2.0050,5.9294,3.8038,0.2569,0.5203,1.0000,0.0000,-0.8660,0.5000,0.3846,2.5608,3.3066,-0.2093,2.6711,1.0000,2.0397,1.0000
1,37,7,1,1,Situation modification,1.1328,6.4822,2.9042,0.1799,0.3757,1.0000,0.0000,0.0000,1.0000,0.4615,2.3614,2.2648,0.1832,6.3133,3.1746,1.9908,1.0000
1,38,7,2,1,Situation selection,1.0084,7.0000,3.8355,0.5274,0.5074,0.0000,0.0000,0.8660,0.5000,0.4615,3.9238,5.5049,-0.7896,3.3752,3.3284,1.0000,3.3247
1,39,7,3,0,Situation selection,2.3311,7.0000,4.2949,0.1025,0.4323,1.0000,1.0000,0.8660,-0.5000,0.4615,2.2840,1.0000,0.0194,4.4817,1.9176,1.0000,1.0000
1,40,7,4,1,Attentional deployment,2.9280,4.5974,5.2543,0.6361,0.2030,1.0000,1.0000,0.0000,-1.0000,0.4615,4.0174,1.4369,0.3369,1.5618,6.3756,5.2972,2.2528
1,41,7,5,1,Attentional deployment,2.8464,4.2419,2.7173,0.3318,0.8479,0.0000,0.0000,-0.8660,-0.5000,0.4615,3.9549,1.0000,-0.0618,1.0000,7.0000,1.6246,2.3248
1,42,7,6,0,Situation selection,4.4084,3.9822,5.3950,0.5789,0.1615,0.0000,1.0000,-0.8660,0.5000,0.4615,3.2830,1.7058,0.4056,3.5825,2.5074,1.0594,2.8073
1,43,8,1,1,Attentional deployment,3.0536,4.4135,3.8959,0.4875,0.6460,1.0000,1.0000,0.0000,1.0000,0.5385,3.6588,2.0117,-0.5409,1.0000,5.2979,3.3544,1.0000
1,44,8,2,1,Cognitive change,1.9908,5.1709,4.3841,0.2289,0.3143,0.0000,0.0000,0.8660,0.5000,0.5385,3.8721,4.5799,0.6118,1.0939,1.0000,4.3713,1.7108
1,45,8,3,1,Cognitive change,2.3617,5.8033,4.4363,0.5584,0.7317,1.0000,1.0000,0.8660,-0.5000,0.5385,3.4458,4.1350,0.4195,2.1759,1.0000,5.6764,2.0766
1,46,8,4,1,Situation selection,3.4860,4.0507,4.3938,0.2086,0.5175,0.0000,0.0000,0.0000,-1.0000,0.5385,3.4166,3.0227,0.7040,6.3111,3.7838,1.0000,3.5171
1,47,8,5,1,Situation selection,2.2589,4.5914,4.9558,0.3677,0.4801,1.0000,0.0000,-0.8660,-0.5000,0.5385,1.9770,3.9586,-0.4470,4.2607,3.3872,1.0000,1.0920
1,48,8,6,1,Situation selection,2.6740,5.0598,5.4550,0.6793,0.7472,1.0000,0.0000,-0.8660,0.5000,0.5385,2.7148,4.6926,-0.4287,2.8658,4.4530,1.5771,3.8133
1,49,9,1,1,Situation modification,2.1101,4.7121,4.9941,0.5973,0.5691,1.0000,1.0000,0.0000,1.0000,0.6154,3.7203,4.5173,-0.1644,5.9680,2.0042,1.1307,1.0000
1,50,9,2,1,Situation selection,3.0797,3.2603,4.0063,0.4402,0.5760,0.0000,0.0000,0.8660,0.5000,0.6154,3.2616,4.2673,0.0450,2.5552,4.1002,1.2559,2.4425
1,51,9,3,1,Situation selection,3.2217,5.3046,4.9379,0.3693,0.9451,1.0000,0.0000,0.8660,-0.5000,0.6154,3.4003,3.6633,0.2003,4.6644,5.0000,1.0000,1.0000
1,52,9,4,1,Attentional deployment,1.9284,4.8479,4.0632,0.2373,0.4962,0.0000,1.0000,0.0000,-1.0000,0.6154,3.2428,3.5630,-0.0165,1.0000,3.6564,3.8734,5.1347
1,53,9,5,1,Situation modification,2.7964,5.8791,5.2379,0.6911,0.3068,0.0000,1.0000,-0.8660,-0.5000,0.6154,4.3837,2.7314,-0.4956,6.7489,1.8096,2.3444,1.0000
1,54,9,6,0,Situation modification,3.1329,5.1409,3.2841,0.3015,0.3082,0.0000,0.0000,-0.8660,0.5000,0.6154,3.1017,1.3009,0.7844,5.5252,2.6154,1.1717,1.6517
1,55,10,1,1,Situation modification,1.0850,5.5570,3.1056,0.0866,0.8157,1.0000,1.0000,0.0000,1.0000,0.6923,3.3067,3.9877,0.3486,7.0000,2.6319,2.4232,3.2244
1,56,10,2,1,Attentional deployment,2.6609,5.3506,4.6791,0.5885,0.8295,1.0000,1.0000,0.8660,0.5000,0.6923,4.3763,2.5409,-0.7033,1.0000,4.8159,1.5269,2.0470
1,57,10,3,1,Situation modification,2.5947,4.9178,3.7385,0.1427,0.3967,1.0000,0.0000,0.8660,-0.5000,0.6923,3.4805,4.1945,0.8958,7.0000,1.8482,2.6918,1.5784
1,58,10,4,1,Cognitive change,3.5034,4.5371,5.8863,0.6294,0.4119,1.0000,1.0000,0.0000,-1.0000,0.6923,3.9256,1.9255,-0.1618,2.4299,3.1155,6.1411,1.4973
1,59,10,5,1,Situation modification,2.0962,5.4138,5.0857,0.7287,0.7185,1.0000,1.0000,-0.8660,-0.5000,0.6923,4.2656,4.3385,1.3054,6.8205,1.0000,2.8030,1.5853
1,60,10,6,1,Cognitive change,1.4544,6.5867,5.1696,0.6701,0.6222,1.0000,0.0000,-0.8660,0.5000,0.6923,4.0724,4.1736,0.2546,2.1681,2.9501,4.9253,2.3285
1,61,11,1,1,Situation modification,2.8236,4.3822,5.4030,0.6438,0.3692,0.0000,0.0000,0.0000,1.0000,0.7692,3.9490,4.0077,-0.2580,6.6156,3.0906,3.2197,1.0000
1,62,11,2,0,Response modulation,2.0130,5.0876,2.9680,0.3845,0.4200,1.0000,1.0000,0.8660,0.5000,0.7692,3.3599,2.2434,0.6959,1.0000,1.7863,2.9575,4.1763
1,63,11,3,1,Cognitive change,1.8681,5.1952,4.2322,0.4068,0.4092,0.0000,0.0000,0.8660,-0.5000,0.7692,3.2199,5.2606,0.5557,2.0882,2.4080,6.9756,1.0000
1,64,11,4,1,Situation selection,2.5661,4.8489,4.7542,0.6845,0.5906,1.0000,1.0000,0.0000,-1.0000,0.7692,3.4854,3.5623,0.1152,5.2513,2.3765,2.6295,2.3027
1,65,11,5,0,Situation selection,2.2770,5.8350,3.5200,0.7597,0.2742,1.0000,0.0000,-0.8660,-0.5000,0.7692,3.7973,3.5166,0.7911,3.7162,4.0294,1.2858,1.1205
1,66,11,6,0,Situation modification,1.6268,5.0462,2.7755,0.3291,0.9084,1.0000,1.0000,-0.8660,0.5000,0.7692,2.8364,5.4228,-0.4408,5.2030,1.0000,1.0948,2.1780
1,67,12,1,1,Situation modification,3.1299,5.0071,3.6880,0.0747,0.2233,1.0000,0.0000,0.0000,1.0000,0.8462,3.2327,1.3254,-0.1390,6.6796,1.2100,2.8948,1.0000
1,68,12,2,1,Cognitive change,3.2917,5.4830,5.0385,0.7044,0.9104,1.0000,0.0000,0.8660,0.5000,0.8462,3.5615,1.2024,-0.5648,3.2621,2.8843,6.3670,1.0245
1,69,12,3,1,Cognitive change,1.6719,5.8160,4.1066,0.0906,0.2740,0.0000,0.0000,0.8660,-0.5000,0.8462,3.2400,4.4724,-0.4811,1.0000,3.0291,4.8946,1.1450
1,70,12,4,1,Situation selection,2.9039,5.5807,3.5676,0.2967,0.6973,1.0000,0.0000,0.0000,-1.0000,0.8462,2.4669,2.7071,0.5511,4.3435,2.9333,1.9728,1.0000
1,71,12,5,1,Cognitive change,2.3584,4.6723,3.9140,0.2852,0.4023,0.0000,0.0000,-0.8660,-0.5000,0.8462,2.4807,3.3226,0.2281,1.0000,3.0880,3.7748,1.0000
1,72,12,6,1,Situation modification,4.1552,5.0133,4.9672,0.5478,0.4870,0.0000,0.0000,-0.8660,0.5000,0.8462,3.6281,2.4974,-0.1820,4.9805,2.7101,1.4624,1.9806
1,73,13,1,1,Situation modification,1.0000,6.6214,3.8472,0.3831,0.5264,0.0000,0.0000,0.0000,1.0000,0.9231,3.6174,6.1019,0.5771,5.8914,1.0000,1.0000,2.1719
1,74,13,2,1,Cognitive change,1.2841,5.9509,4.7577,0.3870,0.3512,0.0000,0.0000,0.8660,0.5000,0.9231,2.9256,4.9275,-0.1431,1.0000,3.7956,6.3273,1.7513
1,75,13,3,1,Situation modification,2.7078,5.8219,3.9407,0.3780,0.1410,1.0000,0.0000,0.8660,-0.5000,0.9231,3.2360,1.5879,0.1436,5.8195,1.0000,3.6706,2.6581
1,76,13,4,1,Attentional deployment,2.6087,5.0114,4.3724,0.3249,0.2061,1.0000,0.0000,0.0000,-1.0000,0.9231,3.2273,2.5736,0.1957,1.0000,6.5996,3.1462,1.0000
1,77,13,5,1,Cognitive change,2.0823,5.8935,4.4507,0.5828,0.3098,0.0000,0.0000,-0.8660,-0.5000,0.9231,3.2477,4.6485,-0.8220,1.1159,1.1236,7.0000,1.0000
1,78,13,6,1,Attentional deployment,2.8224,5.3086,4.7588,0.5471,0.4882,1.0000,1.0000,-0.8660,0.5000,0.9231,3.4336,3.1805,1.3491,1.9653,6.0598,3.4119,3.0223
1,79,14,1,1,Situation selection,4.0684,4.6704,5.3505,0.8172,0.5107,1.0000,1.0000,0.0000,1.0000,1.0000,4.0464,1.9204,0.7313,4.5920,3.5130,2.6383,1.0000
1,80,14,2,1,Situation modification,2.7437,4.8022,5.8123,0.8904,0.6442,1.0000,0.0000,0.8660,0.5000,1.0000,4.6903,4.4975,-0.5549,6.9303,1.1204,5.7443,1.7299
1,81,14,3,1,Situation modification,1.0000,6.7658,3.9646,0.1413,0.7461,1.0000,1.0000,0.8660,-0.5000,1.0000,3.0573,6.7479,0.6119,7.0000,1.0921,3.8012,1.2586
1,82,14,4,1,Cognitive change,1.1353,6.4810,3.8841,0.1888,0.4769,1.0000,0.0000,0.0000,-1.0000,1.0000,2.5029,5.9600,0.2921,2.2074,1.6744,6.5812,3.0297
1,83,14,5,1,Response modulation,3.3046,4.8068,3.1837,0.2669,0.3899,1.0000,0.0000,-0.8660,-0.5000,1.0000,3.7159,1.0852,0.8816,2.7022,3.9447,2.8057,3.5022
1,84,14,6,1,Attentional deployment,2.3753,6.5109,4.5598,0.4138,0.1445,1.0000,1.0000,-0.8660,0.5000,1.0000,2.5457,1.7644,-0.6002,2.1668,7.0000,3.6180,3.1306
2,1,1,1,1,Response modulation,2.6780,5.1023,4.5259,0.8622,0.7106,0.0000,0.0000,0.0000,1.0000,0.0000,4.1756,3.7564,0.5270,2.5296,2.3520,1.6466,6.0851
2,2,1,2,1,Cognitive change,1.8989,5.5088,4.4224,0.6160,0.8528,1.0000,1.0000,0.8660,0.5000,0.0000,3.9229,3.6499,-0.7074,1.9816,1.9741,5.2008,1.0206
2,3,1,3,1,Attentional deployment,1.2699,5.1908,3.2610,0.0709,0.3122,1.0000,0.0000,0.8660,-0.5000,0.0000,3.5226,4.9583,0.4160,3.6124,5.6174,3.2673,2.1123
2,4,1,4,1,Cognitive change,2.1257,5.5503,4.6287,0.5342,0.6980,1.0000,0.0000,0.0000,-1.0000,0.0000,3.0458,3.9762,0.1089,2.4942,2.8344,5.2871,2.5850
2,5,1,5,1,Response modulation,2.8811,4.9606,4.6307,0.5647,0.2966,0.0000,0.0000,-0.8660,-0.5000,0.0000,3.0755,2.5252,0.1598,1.0000,1.5233,1.0000,4.9986
2,6,1,6,1,Attentional deployment,3.2007,4.6923,4.6544,0.7704,0.3857,0.0000,0.0000,-0.8660,0.5000,0.0000,4.5407,2.4984,0.8851,1.9610,4.9422,1.6067,2.4422
2,7,2,1,1,Cognitive change,3.2069,4.4291,4.8362,0.4962,0.4872,1.0000,1.0000,0.0000,1.0000,0.0769,4.4444,3.6649,-0.8027,1.3725,3.5732,6.3293,1.4996
2,8,2,2,1,Situation modification,2.0420,4.7429,4.0005,0.2911,0.4996,1.0000,1.0000,0.8660,0.5000,0.0769,2.8817,3.8705,-0.1523,6.4418,1.0000,2.1817,1.0000
2,9,2,3,1,Response modulation,2.9374,5.9889,4.7024,0.2364,0.4862,1.0000,0.0000,0.8660,-0.5000,0.0769,1.5360,2.8120,-0.5419,1.0000,1.0000,1.5943,6.9636
2,10,2,4,1,Situation modification,2.2306,4.8301,3.8548,0.6040,0.6460,0.0000,1.0000,0.0000,-1.0000,0.0769,3.9212,3.7626,-0.6161,5.7602,3.0176,2.0878,2.1571
2,11,2,5,1,Cognitive change,2.0916,2.9693,4.0962,0.7250,0.3008,1.0000,0.0000,-0.8660,-0.5000,0.0769,3.7125,5.4965,-0.0123,1.0000,1.7046,5.8455,1.6540
2,12,2,6,1,Attentional deployment,4.7537,4.4991,5.5402,0.7258,0.1145,1.0000,1.0000,-0.8660,0.5000,0.0769,3.5669,1.8424,-0.2013,2.4951,7.0000,2.3087,2.1774
2,13,3,1,1,Situation selection,2.9892,3.8629,5.0976,0.3475,0.7324,1.0000,1.0000,0.0000,1.0000,0.1538,3.1907,3.3939,0.7217,3.7695,5.7430,1.0000,1.5309
2,14,3,2,1,Cognitive change,1.9925,5.6774,3.9963,0.6029,0.1428,1.0000,1.0000,0.8660,0.5000,0.1538,2.8659,3.1260,0.0659,1.0000,1.0280,5.6265,1.0468
2,15,3,3,1,Cognitive change,1.8351,5.8713,4.0553,0.5520,0.8478,0.0000,1.0000,0.8660,-0.5000,0.1538,3.3962,2.9060,-0.3599,2.3014,3.0978,5.3334,2.5294
2,16,3,4,1,Attentional deployment,1.5961,5.2394,4.2831,0.6852,0.1440,0.0000,0.0000,0.0000,-1.0000,0.1538,3.4644,3.4044,0.1064,2.2455,4.8446,1.5719,1.0000
2,17,3,5,1,Cognitive change,2.7989,5.0530,5.2181,0.8860,0.4622,1.0000,0.0000,-0.8660,-0.5000,0.1538,4.4590,1.0076,-0.5425,1.2671,1.5298,6.8928,1.0000
2,18,3,6,1,Situation modification,3.0474,4.3005,5.0942,0.4676,0.4428,0.0000,1.0000,-0.8660,0.5000,0.1538,3.5597,2.9377,-0.2788,3.5976,1.0000,1.3469,1.1839
2,19,4,1,1,Situation modification,3.4110,4.4361,4.0888,0.3262,0.3613,0.0000,0.0000,0.0000,1.0000,0.2308,3.2080,4.3210,0.6395,5.9124,1.0000,1.4510,2.2802
2,20,4,2,1,Attentional deployment,2.9596,4.6867,3.9277,0.4816,0.3571,1.0000,0.0000,0.8660,0.5000,0.2308,3.7765,3.1047,0.6067,1.0000,5.0103,1.9184,3.5179
2,21,4,3,1,Attentional deployment,2.3051,5.5380,3.8383,0.4040,0.3950,1.0000,0.0000,0.8660,-0.5000,0.2308,3.3726,3.6097,-0.0992,3.1509,7.0000,3.6538,2.9578
2,22,4,4,1,Attentional deployment,1.0153,5.7783,3.9887,0.4583,0.6849,0.0000,0.0000,0.0000,-1.0000,0.2308,3.7322,5.0186,0.0351,1.1519,5.4182,1.3687,1.1984
2,23,4,5,1,Cognitive change,2.3369,4.8878,3.8884,0.6176,0.7446,0.0000,1.0000,-0.8660,-0.5000,0.2308,3.5618,3.3466,-0.2916,1.0000,1.2354,5.8187,1.3004
2,24,4,6,1,Attentional deployment,3.2000,4.9646,5.2769,0.6057,0.3832,0.0000,1.0000,-0.8660,0.5000,0.2308,3.5531,4.5117,1.4123,1.9956,4.7028,1.3066,1.4415
2,25,5,1,1,Cognitive change,3.8339,4.7316,4.0355,0.4843,0.5598,0.0000,0.0000,0.0000,1.0000,0.3077,4.1316,4.8113,0.1899,4.5555,2.7724,6.9074,1.2509
2,26,5,2,1,Attentional deployment,3.6899,4.3964,5.8668,0.6087,0.5642,0.0000,1.0000,0.8660,0.5000,0.3077,2.9325,2.5968,-1.2836,1.4282,6.1695,3.3318,2.8991
2,27,5,3,1,Situation selection,1.8046,5.4678,4.6873,0.5135,0.8946,1.0000,0.0000,0.8660,-0.5000,0.3077,3.6502,4.4507,0.2267,4.0527,5.6943,1.0000,2.1596
2,28,5,4,1,Cognitive change,2.8990,3.9687,5.0431,0.6681,0.2403,0.0000,0.0000,0.0000,-1.0000,0.3077,4.6525,3.4622,-0.0826,1.7262,1.1870,6.5445,2.8606
2,29,5,5,1,Response modulation,3.3601,3.9145,4.1130,0.5724,0.7078,0.0000,1.0000,-0.8660,-0.5000,0.3077,4.1677,2.8277,0.0536,1.0000,1.8252,1.6678,5.8986
2,30,5,6,1,Attentional deployment,4.2726,3.7922,6.0348,0.5453,0.3193,0.0000,1.0000,-0.8660,0.5000,0.3077,3.9606,4.2842,-0.5206,3.1683,4.6677,1.8840,3.4856
2,31,6,1,1,Cognitive change,3.7735,4.2686,4.9216,0.6261,0.1652,1.0000,1.0000,0.0000,1.0000,0.3846,3.9146,3.6356,0.3403,2.5868,1.0000,3.5370,2.8322
2,32,6,2,1,Cognitive change,3.0334,4.6659,5.3533,0.5143,0.2657,1.0000,0.0000,0.8660,0.5000,0.3846,3.1786,3.6211,-0.5374,1.0000,2.6661,6.5466,1.0000
2,33,6,3,1,Cognitive change,2.8488,6.0058,4.6777,0.4566,0.1350,0.0000,1.0000,0.8660,-0.5000,0.3846,2.4504,4.3123,0.0726,2.1008,3.7864,6.7587,1.0917
2,34,6,4,1,Situation selection,4.1370,5.6344,5.1058,0.5035,0.2169,0.0000,1.0000,0.0000,-1.0000,0.3846,2.6562,2.7932,0.0826,3.7752,4.1649,2.5481,2.9131
2,35,6,5,1,Situation modification,2.1725,4.8793,4.7851,0.5740,0.1085,0.0000,0.0000,-0.8660,-0.5000,0.3846,3.7723,1.9351,0.3228,6.2071,1.0000,3.1700,1.9610
2,36,6,6,1,Situation modification,4.0232,4.4865,4.2016,0.5158,0.2318,1.0000,1.0000,-0.8660,0.5000,0.3846,2.8269,1.9068,-0.4231,4.6447,1.3403,1.0000,1.3819
2,37,7,1,1,Cognitive change,3.4156,4.0534,4.9570,0.4425,0.3469,0.0000,0.0000,0.0000,1.0000,0.4615,3.5750,4.8004,-0.4953,2.6728,2.3195,4.8502,2.5025
2,38,7,2,1,Attentional deployment,3.0701,3.6783,4.9464,0.1564,0.0740,1.0000,0.0000,0.8660,0.5000,0.4615,3.1224,3.4549,-0.3392,1.9054,6.8664,3.1123,1.0000
2,39,7,3,1,Attentional deployment,1.8543,4.7834,4.0886,0.4889,0.5963,1.0000,1.0000,0.8660,-0.5000,0.4615,4.3313,4.0611,0.4099,1.7627,6.9758,3.4562,1.7600
2,40,7,4,1,Response modulation,1.0000,6.7173,3.5204,0.1886,0.4307,1.0000,0.0000,0.0000,-1.0000,0.4615,3.9190,4.2690,0.5938,1.6424,2.4732,1.6767,6.5096
2,41,7,5,1,Situation modification,1.3199,6.2122,3.4491,0.1811,0.2543,1.0000,1.0000,-0.8660,-0.5000,0.4615,2.8465,1.1436,0.1370,6.7678,2.0766,1.4024,1.3139
2,42,7,6,0,Attentional deployment,1.7928,5.6450,3.1148,0.3264,0.1325,0.0000,1.0000,-0.8660,0.5000,0.4615,2.4199,2.7888,-0.2865,1.5785,5.7020,3.0754,2.4425
2,43,8,1,1,Attentional deployment,2.7505,4.6554,4.3589,0.2374,0.9029,1.0000,1.0000,0.0000,1.0000,0.5385,2.6456,3.2059,0.1390,1.0000,7.0000,2.8798,1.8742
2,44,8,2,1,Attentional deployment,2.7554,5.9764,3.1970,0.2552,0.5235,0.0000,1.0000,0.8660,0.5000,0.5385,2.7169,1.0000,0.3026,1.0000,4.9876,2.2802,2.5600
2,45,8,3,1,Situation modification,1.7800,5.0453,4.4989,0.3828,0.5683,0.0000,0.0000,0.8660,-0.5000,0.5385,2.9170,3.8187,0.1523,4.5889,1.0000,4.2415,1.1695
2,46,8,4,1,Attentional deployment,3.8469,5.0395,5.8067,0.6083,0.4056,1.0000,0.0000,0.0000,-1.0000,0.5385,3.0938,2.4310,-0.5924,2.0456,6.6591,1.0249,2.0544
2,47,8,5,1,Situation modification,4.4174,2.5678,5.5222,0.7036,0.1802,1.0000,0.0000,-0.8660,-0.5000,0.5385,3.4031,1.0000,0.7593,4.6363,1.3914,2.9565,1.5056
2,48,8,6,1,Attentional deployment,4.4524,5.2077,4.4936,0.6974,0.4222,1.0000,1.0000,-0.8660,0.5000,0.5385,3.5590,1.9655,0.0425,3.5795,5.9104,3.0146,1.8862
2,49,9,1,1,Situation selection,3.4970,4.2731,4.5023,0.4367,0.7608,1.0000,1.0000,0.0000,1.0000,0.6154,2.9320,4.3840,0.2307,3.7104,4.1062,1.0000,1.9261
