participant_id,split,prompts_answered,trait_SS,trait_SM,trait_AD,trait_CC,trait_RM,adapt_SS,adapt_SM,adapt_AD,adapt_CC,adapt_RM,label_SS,label_SM,label_AD,label_CC,label_RM,ERQCA_reappraisal,ERQCA_suppression,ERC_teacher
15,train,40,-0.1053,-0.4665,0.1102,-0.6386,-0.1660,0.2154,0.4305,1.2938,0.3964,0.9520,0,0,1,0,1,3.552,3.385,3.613
16,train,35,0.3560,0.8684,2.1013,0.4073,0.6623,-1.5000,0.5294,1.5979,0.1748,0.3543,0,0,1,0,0,3.661,3.404,2.828
17,train,37,0.4549,-0.5024,1.0512,0.4386,0.8673,0.4016,-0.3008,1.1373,0.6082,0.8414,1,0,1,1,1,4.950,2.296,3.561
18,test,34,1.8128,2.4509,-0.3999,1.5599,-0.4747,-0.2328,1.6632,-1.5000,0.3262,-1.5000,0,1,0,0,0,4.206,2.874,2.767
19,test,37,-1.0306,-1.2144,1.7212,0.1241,2.8469,-1.5000,-1.5000,0.8946,0.3216,1.4992,0,0,0,0,1,4.563,4.401,2.688
20,train,37,-1.7220,-1.2380,-0.8009,-1.6291,-1.3067,0.0303,1.0873,1.2636,0.0301,0.6919,0,1,1,0,1,2.876,1.258,3.448
21,test,37,-0.0870,1.1713,1.3755,1.2344,1.1518,-1.5000,0.8001,1.2813,0.7478,0.8413,0,0,1,1,1,4.448,3.305,3.303
22,train,32,1.6078,-0.4816,-0.7813,0.0742,-1.3923,1.3473,0.8901,0.5756,0.4971,-1.5000,1,1,0,1,0,3.739,1.989,3.140
23,train,36,0.8617,0.9036,0.2799,0.7477,0.5568,0.9920,0.6658,0.2442,0.6210,0.4385,1,0,0,1,0,4.670,3.060,3.443
24,test,41,1.2509,1.3442,0.2836,1.8020,-0.5804,0.5902,0.9240,0.8823,0.9220,-1.5000,1,1,0,1,0,4.682,2.767,3.505
25,test,33,-0.1908,-0.3009,-0.2959,-0.6092,0.8720,0.5950,0.2649,0.4135,-1.5000,1.3036,1,0,0,0,1,3.448,3.454,3.413
26,train,41,0.3387,-1.8387,0.4440,0.8808,0.9601,0.1576,-1.5000,0.8689,0.8690,1.0631,0,0,0,1,1,4.734,3.014,2.737
27,train,38,0.5829,1.2335,-0.4895,0.6547,0.0802,0.7073,1.4752,0.3052,0.5859,0.1399,1,1,0,1,0,4.346,2.600,3.679
28,test,34,0.4019,1.5067,0.2480,0.3980,0.8655,0.2064,1.3946,0.3953,-1.5000,0.8670,0,1,0,0,1,4.054,3.094,2.947
29,train,32,2.1429,2.9415,0.9162,1.3975,0.5750,-0.2068,1.5547,0.8334,0.3528,-1.5000,0,1,0,0,0,4.342,2.449,3.725
30,train,34,0.9607,1.1210,0.3020,1.5475,-0.5025,0.3647,1.1523,0.7562,0.9160,-1.5000,1,1,0,1,0,5.000,1.411,2.597
31,train,34,-1.2927,-0.4760,-0.0179,-1.1194,-1.4428,-1.5000,0.9204,1.4180,0.0292,0.2619,0,1,1,0,0,3.103,1.638,3.110
32,train,39,-1.5797,-0.5956,0.4884,-0.9664,0.1848,-0.2355,0.2200,1.4161,-1.5000,0.8800,0,0,1,0,1,3.527,2.303,2.444
33,test,41,-0.3483,0.0655,0.1390,-0.4292,0.0822,-1.5000,1.0128,1.3841,-0.0197,1.0218,0,1,1,0,1,3.780,3.676,2.971
34,train,36,-0.1842,-0.2332,-1.2423,-0.3588,-0.5808,0.9056,1.1827,0.4455,0.3325,0.3791,1,1,0,0,0,3.769,2.605,3.419
35,train,40,0.2225,-0.5991,-0.8070,-1.2201,0.0749,0.7848,0.5436,0.4949,-1.5000,1.2222,1,0,0,0,1,2.723,2.480,3.545
36,validation,41,0.0548,0.3079,-0.1240,0.8677,-0.0899,0.1713,1.1825,0.9668,0.8225,0.6928,0,1,1,1,1,3.567,3.154,3.743
37,train,40,0.0775,0.6923,-0.1328,-0.1003,-1.0182,0.4417,1.3065,0.7234,0.5721,-1.5000,1,1,0,1,0,3.847,2.281,3.273
38,train,43,0.4510,0.4086,0.1315,0.0860,1.4104,0.1836,0.6395,0.2767,0.5789,1.3393,0,0,0,1,1,3.642,3.223,2.807
39,train,38,0.4001,0.8367,0.3435,0.3035,0.1305,0.4961,1.4609,0.7930,0.8761,0.2440,1,1,0,1,0,3.402,2.244,3.903
40,validation,37,-0.1826,-1.1167,-0.6722,0.0078,-1.1067,0.6830,0.5271,0.5054,1.2590,0.4585,1,0,0,1,0,3.262,2.488,3.237
41,validation,44,-1.0036,-1.2385,-0.1016,-1.9544,0.0667,0.0482,-0.0641,1.3784,-1.5000,1.2680,0,0,1,0,1,3.503,2.576,2.694
42,validation,40,0.7185,0.7209,0.2670,-0.4294,-0.2530,0.3634,1.2809,1.1331,-1.5000,0.2351,1,1,1,0,0,3.701,2.254,3.630
43,train,39,1.2510,-0.1525,-0.4455,0.1498,-0.7223,1.1979,1.0662,0.7593,0.4071,0.8093,1,1,0,0,1,4.699,2.987,3.899
44,train,39,0.5175,1.0862,0.7947,0.4021,-0.5138,0.5060,1.0862,1.1941,0.3157,-1.5000,1,1,1,0,0,4.319,2.117,3.771
45,validation,36,-0.1306,-0.5720,-1.8309,-1.0697,-0.7828,0.9215,1.1220,0.2010,0.3159,0.3947,1,1,0,0,0,3.732,2.646,3.558
46,train,38,-0.4033,-0.2428,0.4142,-0.2149,0.2131,-0.1969,0.9054,1.1236,0.1422,1.0884,0,1,1,0,1,3.396,3.150,3.347
47,train,40,0.8343,0.0909,0.6958,0.5432,0.0704,0.9476,0.3747,1.0802,0.7360,0.6298,1,0,1,1,0,3.807,1.803,3.388
48,train,39,-0.7724,0.3969,-0.2405,0.4590,-0.4176,-1.5000,1.0877,0.9451,0.8733,0.7138,0,1,1,1,1,3.940,3.027,2.830
49,train,39,-0.2203,-0.8206,0.9783,-0.0063,2.4415,-1.5000,-1.5000,1.0170,-1.5000,1.5912,0,0,1,0,1,2.874,4.378,2.326
50,test,43,1.1409,0.7275,1.0350,0.1328,2.0286,0.5460,0.2789,0.8284,-1.5000,1.4892,1,0,0,0,1,3.619,3.409,3.276
51,validation,40,-0.2027,0.5970,0.5856,0.5795,1.7139,0.2379,0.3891,1.3454,0.0112,1.0763,0,0,1,0,1,3.523,3.568,3.308
52,train,39,-0.7228,0.6949,-1.1929,-0.8181,-1.4268,0.3177,1.3833,0.2780,0.5916,-1.5000,1,1,0,1,0,3.417,1.000,2.976
53,train,35,-0.2175,0.0839,0.3835,0.2983,0.4515,-1.5000,0.7926,1.3290,0.4927,1.1065,0,0,1,1,1,3.435,3.386,3.190
54,test,38,1.8780,1.9182,1.5166,1.3120,-0.5485,0.5242,1.4235,1.1001,-0.1164,-1.5000,1,1,1,0,0,4.118,2.185,3.069
55,train,39,0.8090,2.3443,0.6155,1.7488,0.2796,-1.5000,1.5745,0.7612,0.7883,-1.5000,0,1,0,1,0,4.791,3.520,3.659
56,train,35,-1.3613,-1.3392,-1.1647,-2.1253,-0.6161,0.2997,0.2861,0.4936,-1.5000,1.1790,0,0,0,0,1,3.151,2.830,3.093
57,train,39,-0.7341,-1.1276,-0.4150,-0.4162,-0.0870,-0.1047,0.8215,1.2357,-1.5000,0.8464,0,1,1,0,1,3.273,2.257,3.266
58,test,39,-0.7131,-0.7552,0.0176,-0.5792,0.3366,0.4587,0.5824,1.2344,0.2289,0.8335,1,0,1,0,1,3.398,2.928,3.184
59,train,34,-0.4363,-1.3485,-0.2141,-0.3484,1.3196,-1.5000,-1.5000,0.8102,-1.5000,1.5349,0,0,0,0,1,3.129,2.995,2.044
60,train,40,-0.7459,-0.8290,-0.4097,-0.3589,-0.0763,0.2040,0.3470,1.2942,0.4032,1.0541,0,0,1,0,1,2.945,2.573,4.000
61,validation,35,-0.2705,-1.0869,-0.9749,-1.0936,0.1119,0.2559,0.9887,0.5451,0.5023,1.2095,0,1,0,1,1,3.817,2.078,2.713
62,train,37,-1.6430,-1.1981,-0.6336,-1.8492,-0.2388,0.7651,0.2002,1.1271,0.5806,0.8120,1,0,1,1,1,2.414,2.921,3.059
63,test,39,0.8439,0.5565,0.2905,0.5943,-1.3209,0.8729,1.2818,0.8370,1.0012,-1.5000,1,1,0,1,0,4.337,2.072,3.070
64,train,40,0.4003,0.9770,-0.0301,0.5243,-0.5169,0.7848,1.3442,0.9945,0.8846,0.2550,1,1,1,1,0,4.253,1.948,3.866
65,test,39,-1.1031,-0.9524,-0.9763,-0.1780,-0.8129,0.0465,0.2937,0.6273,1.1828,0.9037,0,0,0,1,1,4.242,2.645,3.102
66,train,40,-0.8757,-0.4378,0.5503,-0.2722,0.3577,-1.5000,0.9828,1.4110,0.4415,0.8263,0,1,1,0,1,3.796,2.748,2.466
67,train,39,0.2170,0.5739,-0.8756,-0.7288,-1.3776,0.4542,1.3199,0.4804,0.3160,-1.5000,1,1,0,0,0,3.614,2.106,2.781
68,train,37,-0.6092,-0.8017,-0.7070,-0.2563,-1.3482,0.1581,0.2557,0.7604,1.1891,0.4596,0,0,0,1,0,3.624,2.431,3.428
69,validation,39,-0.9838,-1.0361,1.1319,-1.1998,1.9349,-1.5000,-1.5000,0.9479,-1.5000,1.5790,0,0,1,0,1,3.560,3.759,2.414
70,train,31,1.2572,1.6501,-0.1039,0.8763,-0.1353,0.7713,1.5379,0.6827,0.2199,0.3191,1,1,0,0,0,3.106,3.256,4.000
71,test,31,0.8943,1.4957,-0.2555,-0.3046,-0.6305,0.5079,1.2624,-1.5000,-1.5000,-1.5000,1,1,0,0,0,2.820,2.671,2.360
72,train,37,0.4659,0.8164,0.6265,0.4656,0.5510,0.1506,0.8528,1.0200,0.2044,1.1742,0,1,1,0,1,4.097,3.467,3.353
73,train,38,1.4169,0.1272,1.7808,0.4604,1.6726,0.8147,-0.3828,1.2087,0.2765,1.2159,1,0,1,0,1,3.440,2.930,2.960
74,train,38,0.1678,0.0218,0.9345,-0.3190,1.4438,-1.5000,0.6597,0.9649,-1.5000,1.3600,0,0,1,0,1,4.195,3.801,2.606
75,validation,38,-0.0977,0.3013,0.9422,0.0747,-0.2094,0.4938,1.0306,1.6488,-1.5000,0.0204,1,1,1,0,0,4.163,2.977,4.000
76,train,37,0.2121,1.3467,1.4835,-0.7935,0.5466,-1.5000,1.1385,1.3430,-1.5000,0.6596,0,1,1,0,0,3.340,2.721,2.699
77,train,40,0.3975,1.0502,1.7505,1.2088,1.0304,0.4417,0.4817,1.2737,0.8805,0.4930,1,0,1,1,0,4.283,3.153,3.639
78,train,41,0.9076,0.0954,1.2202,-0.0689,1.5537,0.1955,-0.0593,1.0845,0.1508,1.2408,0,0,1,0,1,2.914,3.475,3.585
79,train,38,0.5474,0.4664,0.1150,-0.0854,-0.4933,0.9021,0.9496,0.8062,0.5430,0.3665,1,1,0,1,0,3.619,2.791,3.583
80,train,33,0.0098,-0.6591,-0.3415,-0.4850,-0.4603,0.9458,0.7775,1.2019,0.6200,0.2174,1,0,1,1,0,3.451,2.872,3.785
81,train,43,-0.5088,0.9326,-0.1888,0.4236,-0.7480,0.2711,1.0748,0.4824,0.8865,-1.5000,0,1,0,1,0,4.023,2.622,2.610
82,test,34,0.4358,1.7532,-0.6021,1.1303,-0.7352,-1.5000,1.7602,-0.2788,0.0101,-1.5000,0,1,0,0,0,4.778,1.749,2.279
83,train,41,-0.0283,0.0838,-0.2865,-0.5096,0.2372,0.3118,0.9714,1.2261,0.3476,0.8081,1,1,1,0,1,3.592,3.601,3.444
84,train,36,0.0518,0.4214,0.5460,-0.5961,0.5704,0.3069,0.9596,1.2299,0.2349,0.2830,0,1,1,0,0,3.158,3.162,3.020
85,train,37,-1.8647,-2.0478,-0.3642,-1.0449,-0.3826,-1.5000,-0.1151,1.0039,0.6536,0.9164,0,0,1,1,1,2.843,1.711,3.052
86,validation,41,-1.0041,-0.9860,-1.9754,-1.2353,-2.7113,0.3942,1.2946,0.4654,0.9430,-1.5000,1,1,0,1,0,3.412,1.088,3.766
87,train,36,0.4178,-0.0201,0.5787,-0.0220,-0.1685,0.5704,0.5678,1.2019,0.7073,-1.5000,1,0,1,1,0,3.637,2.367,3.157
88,train,36,-0.1200,-0.1162,0.0703,-0.8156,-0.1584,-1.5000,1.1163,1.1505,0.5401,0.6319,0,1,1,1,0,3.052,2.503,3.012
89,train,41,-0.1665,0.7447,1.2567,0.2525,0.6931,-1.5000,1.0481,1.3036,0.6303,0.2640,0,1,1,1,0,4.248,2.961,3.188
90,train,39,0.5824,0.7312,-0.0014,0.8346,-1.1111,0.3719,0.8565,0.9952,0.8246,0.3895,1,1,1,1,0,4.545,2.521,3.938
91,train,34,-1.6133,-0.7884,-0.5299,-2.3457,-1.5491,0.5306,1.1946,1.4338,-1.5000,0.1609,1,1,1,0,0,2.188,2.169,3.783
92,train,36,-0.6326,-0.8630,-1.1030,0.0861,-1.1690,0.4437,0.8799,1.0632,0.7861,0.4524,1,1,1,1,0,4.222,1.000,3.178
93,validation,38,-1.0404,0.6514,-0.4205,-1.0692,-0.2112,-1.5000,1.2093,0.6787,-1.5000,0.9277,0,1,0,0,1,3.230,2.814,3.187
94,train,36,-0.0880,-1.1423,-0.7508,-1.1784,-0.4210,1.0491,0.9036,0.8998,0.3537,0.6261,1,1,0,0,0,2.447,2.618,3.906
95,validation,38,-0.1378,-0.4542,0.1574,0.2766,-0.2266,0.7871,1.0920,0.9569,0.3293,0.4621,1,1,1,0,0,3.925,1.892,3.736
96,train,39,1.6781,1.7928,-0.1462,0.8127,0.0751,0.4461,1.4849,0.3481,0.1673,-1.5000,1,1,0,0,0,4.759,2.411,3.763
97,test,37,0.5745,0.7686,0.7842,-0.5176,-0.2772,0.4918,1.1764,1.0752,0.2613,-1.5000,1,1,1,0,0,3.347,3.687,2.385
98,train,43,-0.5866,-0.3024,0.9726,-0.8656,1.2730,-1.5000,-1.5000,1.4459,0.3218,1.2884,0,0,1,0,1,2.554,2.982,2.994
99,train,39,0.8039,0.9236,-0.3282,1.0664,-1.0780,-0.0917,1.4549,0.4705,0.8569,-1.5000,0,1,0,1,0,4.602,2.151,3.317
100,train,36,0.7053,1.8309,0.5564,0.4218,1.0976,0.3757,1.3022,0.0532,0.3825,0.5570,1,1,0,0,0,3.638,4.670,3.047
101,train,38,1.5039,1.3294,2.4311,2.2367,1.1098,0.7828,0.8418,1.3821,0.8377,-0.0415,1,1,1,1,0,5.000,4.023,3.527
102,train,33,-1.2890,-0.9137,-0.7551,-0.8664,-1.3579,-0.0257,1.0036,1.0758,0.7792,0.0278,0,1,1,1,0,2.318,1.694,3.215
103,validation,38,0.4295,-1.0308,1.7013,-0.7716,0.7556,-1.5000,-1.5000,1.6615,-1.5000,0.5662,0,0,1,0,0,3.421,3.229,2.518
104,train,37,0.7242,0.7100,1.2064,1.4995,2.5491,0.4381,-0.1682,0.3055,0.6621,1.3557,1,0,0,1,1,4.896,4.377,3.279
105,train,35,-0.4522,1.2172,-0.0542,-0.6177,-1.2119,-1.5000,1.2592,1.1896,-1.5000,-1.5000,0,1,1,0,0,3.042,2.194,2.061
106,train,37,-0.9106,0.4713,0.0785,-0.5982,-0.1725,-1.5000,1.2641,0.8847,0.2668,0.6831,0,1,0,0,1,3.622,2.687,3.001
107,train,41,-0.1114,0.0332,-0.1132,0.5708,1.0592,-0.3342,0.6482,0.7548,0.6291,1.1924,0,0,0,1,1,4.398,3.126,3.055
108,validation,40,-0.0319,-0.2416,-0.2470,-0.3086,-1.5142,0.6914,1.0457,1.3065,-1.5000,0.2696,1,1,1,0,0,3.174,1.154,3.010
109,train,42,-0.7498,-0.9245,0.6129,-0.3964,1.0395,-0.4164,-1.5000,0.9997,-0.1601,1.3235,0,0,1,0,1,3.015,3.173,2.603
110,train,35,2.0335,1.9424,0.0652,2.5450,0.5636,0.8213,0.6064,-1.5000,1.3618,0.4826,1,0,0,1,0,5.000,2.479,3.476
111,train,37,-1.0514,0.4247,-0.4131,-0.8807,-1.2448,-1.5000,1.4116,0.7531,-1.5000,0.1496,0,1,0,0,0,3.780,1.851,2.107
112,train,36,1.6281,-0.1301,0.1215,1.1042,-0.5207,1.0815,0.1848,0.3772,0.8797,-1.5000,1,0,0,1,0,3.998,1.934,2.523
113,train,33,-0.0223,-0.5027,-0.5074,-0.2234,0.7083,0.8032,0.2488,0.6616,0.0097,1.3505,1,0,0,0,1,4.042,2.471,3.169
114,validation,36,-0.0631,0.4232,-0.1178,0.1741,0.0607,0.7064,0.8393,0.8347,0.6986,0.9705,1,1,0,1,1,4.079,2.517,3.930
115,train,38,-1.0982,-1.0715,0.0214,-0.0494,1.1152,-1.5000,-0.0143,0.9751,0.6753,1.3996,0,0,1,1,1,3.627,2.757,3.358
116,train,38,0.0412,0.4313,0.0051,-0.0125,0.8187,-1.5000,0.6578,0.8642,0.4118,0.9830,0,0,0,0,1,3.423,3.433,2.731
117,train,38,0.6130,0.5166,-1.0905,0.4561,-1.6570,1.0946,0.8671,0.3081,0.6949,-1.5000,1,1,0,1,0,3.740,1.526,3.343
118,test,42,0.4215,1.0876,-0.0741,0.0082,-1.7258,0.3687,1.7920,0.8402,0.1349,-1.5000,1,1,0,0,0,4.300,1.839,3.150
119,test,31,1.3993,0.6294,0.1684,1.5344,-0.1056,0.9342,0.7748,0.8670,0.9746,-0.1755,1,0,0,1,0,4.572,3.395,4.000
120,train,39,-0.8396,-2.6601,-0.5293,-0.9512,-1.3019,0.7748,-0.2618,1.3891,0.6806,0.6384,1,0,1,1,0,2.653,3.041,3.345
121,validation,36,-1.3033,-1.0849,0.7461,0.0177,1.5386,-1.5000,-1.5000,1.0846,0.3301,1.5566,0,0,1,0,1,2.773,3.359,2.234
122,test,39,0.7962,-0.7889,-0.3582,0.5932,-0.2532,1.1094,0.1493,0.6119,0.9549,0.4252,1,0,0,1,0,4.352,2.089,3.349
123,test,43,0.8313,1.0732,0.0067,1.2643,0.4815,0.1747,1.4284,0.7114,0.7596,0.7295,0,1,0,1,1,4.904,2.974,3.310
124,validation,40,-0.3572,-1.0837,-0.9481,-1.0120,-0.6914,0.9468,0.8288,0.9897,-1.5000,0.7822,1,1,1,0,1,2.392,1.835,2.995
125,train,35,-1.4909,-2.1018,-0.3001,-1.3164,-0.5531,0.4133,0.6816,1.2795,-1.5000,1.1548,1,0,1,0,1,2.614,2.269,3.367
126,train,36,0.8484,1.4328,0.8766,0.7190,0.3000,-1.5000,1.4013,0.7641,0.5548,0.4944,0,1,0,1,0,4.260,2.507,2.911
127,test,37,0.7802,1.1870,1.3183,1.7386,2.0300,0.3924,0.4691,0.9680,0.6084,1.0255,1,0,1,1,1,5.000,3.732,3.191
128,validation,41,-0.8929,0.3795,-0.1009,0.0585,-0.4980,-1.5000,0.8434,1.0671,0.3240,0.7248,0,1,1,0,1,3.460,2.470,2.623
129,train,35,0.8033,0.7133,-0.4884,0.8665,-0.7975,1.0252,1.1606,0.7412,0.8980,-1.5000,1,1,0,1,0,4.170,2.428,3.935
130,validation,36,0.6424,1.8101,0.2759,0.6524,-0.6924,0.2627,1.3797,0.2451,0.1551,0.0104,0,1,0,0,0,4.345,1.978,2.479
131,validation,31,-0.5871,0.1307,0.0101,-0.8270,-0.9629,0.4790,0.8341,1.3637,0.6868,0.7368,1,1,1,1,1,3.272,1.000,3.577
132,train,33,0.0332,-0.8051,0.6593,0.6595,0.7696,-1.5000,-0.3114,1.1819,0.9028,1.1169,0,0,1,1,1,4.026,2.763,3.763
133,train,34,-1.3035,0.3674,-0.6183,0.4443,-2.2505,-1.5000,1.1097,1.0008,1.1456,-1.5000,0,1,1,1,0,4.344,1.000,2.530
134,train,42,0.3308,1.7700,0.6491,1.2196,2.0275,0.6113,0.9192,0.7449,0.7257,0.8903,1,1,0,1,1,4.879,3.967,3.860
135,train,39,0.7127,1.9788,-0.2168,1.0500,-1.0036,-0.0764,1.2549,0.6447,0.9625,-1.5000,0,1,0,1,0,4.454,1.759,3.287
136,train,39,0.9937,1.3608,0.3475,0.1379,0.6195,0.6358,0.5995,0.5455,0.8302,1.0001,1,0,0,1,1,4.103,3.082,3.855
137,train,36,-1.2334,1.0154,0.7469,0.8135,-0.7346,-1.5000,1.4249,1.1862,0.5073,-1.5000,0,1,1,1,0,4.795,2.358,2.890
138,validation,37,-1.2200,-0.1744,0.1460,-1.0336,0.6233,0.0065,0.9577,1.1573,-1.5000,1.0220,0,1,1,0,1,2.549,3.306,3.435
139,train,33,1.0023,0.7208,0.3918,0.6614,0.2903,1.1042,0.8240,0.9849,0.3536,0.4165,1,1,1,0,0,4.668,3.459,3.536
140,train,41,-1.7767,-0.5859,-0.3077,-1.2337,-1.3047,-1.5000,0.5905,1.2304,0.1707,0.5162,0,0,1,0,0,2.577,2.788,3.804
141,validation,40,1.7934,1.8721,-0.7575,1.7987,-2.6553,1.0287,1.2678,-1.5000,0.9805,-1.5000,1,1,0,1,0,5.000,1.000,3.052
142,train,28,0.3163,-0.0970,0.0186,0.1378,0.6562,0.4935,0.4855,0.7494,0.7332,1.2567,1,0,0,1,1,3.238,2.908,3.381
143,validation,40,-0.9692,-1.7888,-1.3060,-1.4425,-0.1446,-0.1317,-0.0989,0.9939,0.1042,1.4181,0,0,1,0,1,2.944,3.304,2.542
144,train,33,-1.0365,-0.3230,0.1277,-0.6305,-0.6952,-1.5000,0.1514,1.3245,0.6714,0.6507,0,0,1,1,0,3.219,2.408,2.974
145,train,32,-0.7585,-1.3817,-0.0609,0.6452,0.6701,-1.5000,-1.5000,0.7517,1.0609,1.1999,0,0,0,1,1,4.167,2.629,2.656
146,test,35,-1.6593,-0.9577,-0.7168,-0.9983,-0.0214,0.2508,0.3859,0.8774,-1.5000,1.1723,0,0,0,0,1,2.933,2.248,3.113
147,train,41,-0.4036,-1.1432,1.0669,-0.8064,1.1075,-0.3273,-1.5000,1.4946,-1.5000,0.9263,0,0,1,0,1,3.277,4.026,2.566
148,train,42,0.9876,0.0831,-0.0012,1.0089,1.1093,0.1559,0.0102,0.4694,0.4295,1.2874,0,0,0,0,1,4.194,3.961,3.060
149,train,39,0.1759,0.4712,0.7912,0.0515,0.5828,0.2632,0.7315,1.0769,0.3926,0.7561,0,0,1,0,1,4.105,1.861,3.726
150,train,38,-1.2421,0.8945,0.5043,0.2400,1.2272,-1.5000,0.9616,1.0222,-1.5000,0.9111,0,1,1,0,1,2.625,3.270,2.529
151,train,28,-0.3361,-0.6395,-0.7086,0.4419,0.3192,0.3199,0.6285,0.4608,0.9444,1.1354,1,0,0,1,1,3.894,3.987,3.472
152,train,38,-1.2358,-0.6395,-1.6367,-1.5066,-1.9265,0.3752,0.9963,0.3592,0.1257,0.3547,1,1,0,0,0,3.056,1.769,3.062
153,test,39,0.2858,0.7396,0.8984,0.8518,0.8737,0.5870,0.7981,1.0131,0.5598,1.2511,1,0,1,1,1,3.754,2.432,3.800
154,test,38,1.2181,0.7711,0.2468,0.4296,0.3861,0.5357,0.6562,0.6210,0.8030,0.8595,1,0,0,1,1,3.937,2.541,3.944
155,validation,38,1.2428,0.5743,0.0592,0.4649,0.4737,0.8934,0.9847,0.6046,0.8296,0.5549,1,1,0,1,0,3.796,2.444,3.806
156,train,42,-0.7264,-1.3136,-1.4416,-1.0064,-0.1829,0.6462,0.4792,0.7738,0.2353,1.2180,1,0,0,0,1,2.653,2.979,3.066
157,train,36,1.4977,0.1315,0.7275,0.7521,0.4965,1.1305,0.4834,0.9911,0.7801,0.8720,1,0,1,1,1,4.253,3.318,3.946
158,train,39,0.9483,1.2965,0.7191,-0.6868,0.2909,0.6273,1.3055,1.0845,-1.5000,0.5923,1,1,1,0,0,3.533,3.289,3.639
159,validation,39,1.1036,-0.3357,0.7633,-0.2624,0.8505,0.6972,0.5245,0.9819,-1.5000,1.2795,1,0,1,0,1,3.419,3.008,3.169
160,train,39,0.1962,0.4030,-0.7353,-0.3708,-0.9919,1.0629,1.3595,0.4709,0.4134,-1.5000,1,1,0,0,0,3.315,1.852,3.459
161,test,36,0.0714,1.1860,-0.0636,0.3204,0.6288,-0.5117,1.3547,0.5242,0.5613,0.7738,0,1,0,1,1,4.371,3.554,3.344
162,train,37,0.1561,-0.6325,-1.5009,-0.0707,0.6349,0.8302,0.1629,0.3706,0.2650,1.2468,1,0,0,0,1,3.881,3.206,2.827
163,train,36,-1.3284,-0.2058,0.1172,-1.3837,0.1283,-1.5000,0.8386,1.1981,-0.0294,0.6337,0,1,1,0,0,2.191,2.684,3.820
164,train,38,-0.5831,-0.8304,-1.3808,-1.5411,-2.0711,0.8280,1.1011,1.0592,0.4994,0.1563,1,1,1,1,0,3.353,1.319,3.433
165,validation,38,0.5946,-0.8622,-0.6517,-0.7963,-0.8085,1.2037,-1.5000,0.8033,-1.5000,0.7722,1,0,0,0,1,3.231,2.111,2.435
166,train,37,-0.9722,-0.7507,-0.2077,-0.9654,0.4217,-0.9133,0.3819,0.8627,0.1100,1.1721,0,0,0,0,1,2.840,2.527,3.222
167,train,39,2.5138,2.4873,1.5195,2.5956,0.9275,0.9330,1.1717,0.9708,1.1673,0.3747,1,1,1,1,0,5.000,3.342,3.907
168,train,36,-1.7501,-1.8011,-0.7033,-1.0422,-2.3570,0.0739,0.7938,1.4444,0.4645,0.1912,0,0,1,1,0,3.356,1.000,3.059
